run_id,session_id,method,target,session_export,session_export_sha256
A-IND-FULL-R1,20260821_054820_cffeb0,full,INDUSTRIAL,实验结果/02_实验A_端到端清单编制/01_工业锅炉/01_Full完整方法/R1/session_export/session.jsonl,25a8735c7a14e089e657d60adeb3b18b77d374f9d8fecbb061e516eb8da167c3
A-IND-GEN-R1,20260821_055003_ade3bd,generic_tool_agent,INDUSTRIAL,实验结果/02_实验A_端到端清单编制/01_工业锅炉/03_通用工具调用型Agent/R1/session_export/session.jsonl,3d46d7fc6335a2e41950c527d474b8cb790d8e52c91817c6c9d657a53885d072
A-POW-FULL-R1,20260821_061518_ee80e8,full,POWER,实验结果/02_实验A_端到端清单编制/02_火电热力/01_Full完整方法/R1/session_export/session.jsonl,143ebc08364d051b251e9c7aa73fe990f14672ee520a48d9ea34434a0a408be5
A-POW-GEN-R1,20260821_061640_618331,generic_tool_agent,POWER,实验结果/02_实验A_端到端清单编制/02_火电热力/03_通用工具调用型Agent/R1/session_export/session.jsonl,89a77240d56a7862830a2c36799fa183ce94f2db5ec5ea727f9ddefb4b981038
A-IND-FULL-R2,20260821_063858_8d80b4,full,INDUSTRIAL,实验结果/02_实验A_端到端清单编制/01_工业锅炉/01_Full完整方法/R2/session_export/session.jsonl,e547722b079de4deae921ef739c3885d7c45bca891a7e3f2b491a7d571e7ad17
A-IND-GEN-R2,20260821_064037_5756ba,generic_tool_agent,INDUSTRIAL,实验结果/02_实验A_端到端清单编制/01_工业锅炉/03_通用工具调用型Agent/R2/session_export/session.jsonl,9137c6f21ebf9975daf58a80d18d8375354f2a49cdc621f3d54b98efb50c596d
A-POW-FULL-R2,20260821_070118_9db5b0,full,POWER,实验结果/02_实验A_端到端清单编制/02_火电热力/01_Full完整方法/R2/session_export/session.jsonl,86f2c6540351b58a7c6a464c5efe29f975b3787d5fd5713e0059ec4384050ed8
A-POW-GEN-R2,20260821_070237_6575a4,generic_tool_agent,POWER,实验结果/02_实验A_端到端清单编制/02_火电热力/03_通用工具调用型Agent/R2/session_export/session.jsonl,df079997c0e32a91a4fc8b07812a8efd24a435359ceb5af1a0fc9fb8844a5ed1
A-IND-FULL-R3,20260821_072446_282e7e,full,INDUSTRIAL,实验结果/02_实验A_端到端清单编制/01_工业锅炉/01_Full完整方法/R3/session_export/session.jsonl,e70bf16ab7affa1b522350d8e4935bbcb42c81aa28a405429f86c5970d7d1e4c
A-IND-GEN-R3,20260821_072626_8a43a3,generic_tool_agent,INDUSTRIAL,实验结果/02_实验A_端到端清单编制/01_工业锅炉/03_通用工具调用型Agent/R3/session_export/session.jsonl,540398043ddc0a60dd9dcd25625ca7ba8a7fb8abebf5fac08ee32985867bbcf1
A-POW-GEN-R3,20260821_075232_86dfc0,generic_tool_agent,POWER,实验结果/02_实验A_端到端清单编制/02_火电热力/03_通用工具调用型Agent/R3/session_export/session.jsonl,0d7e2ef01e389c2d4445b59ee0c25f6f569fd33d277b9695db209a7c9e7ce6cd
A-POW-FULL-R3,20260821_080751_40b723,full,POWER,实验结果/02_实验A_端到端清单编制/02_火电热力/01_Full完整方法/R3/session_export/session.jsonl,11881b307960d16d57a9dfca60ad82c15597e08b5c93ea6b4797685b3db5074f
B-B0-IND-GEN,20260821_080904_afc70a,generic_tool_agent,INDUSTRIAL,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/01_工业锅炉/03_通用工具调用型Agent/R1/session_export/session.jsonl,de8741fdcea140961f210ca24f766e88fe82b3ce7ba00dbd06e88ae250e51839
B-B0-IND-FULL,20260821_082935_148956,full,INDUSTRIAL,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/01_工业锅炉/01_Full完整方法/R1/session_export/session.jsonl,7f58fc5b2faa4a8daa04536673b64c5858efd01556341f1bf6394ee13757efdf
B-B0-POW-FULL,20260821_083137_68428b,full,POWER,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/01_Full完整方法/R1/session_export/session.jsonl,fb16d39195b470a2ea22f9955d8a554b3db8eaa1aa6be91dc749066c945e16f7
B-B0-POW-GEN,20260821_083302_0d04d0,generic_tool_agent,POWER,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/03_通用工具调用型Agent/R1/session_export/session.jsonl,31f20220eddf3f610eba2be6de04f295acfa28363612e452c21f5b89c2b3adb2
B-S1-IND-GEN,20260821_085230_5d748c,generic_tool_agent,INDUSTRIAL,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/01_S1表头形式扰动/01_工业锅炉/03_通用工具调用型Agent/R1/session_export/session.jsonl,f040579fea95a94b73efd0da121ffa09c793361b3df95cdbb4664b3df31e21f4
B-S1-IND-FULL,20260821_091402_5d69c8,full,INDUSTRIAL,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/01_S1表头形式扰动/01_工业锅炉/01_Full完整方法/R1/session_export/session.jsonl,056a4b2f49a10ce8c1c4f780677d595137d5f12732c92a8c0400f4625dd5893d
B-S1-POW-FULL,20260821_091609_2058af,full,POWER,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/01_S1表头形式扰动/02_火电热力/01_Full完整方法/R1/session_export/session.jsonl,ae47abd5a64082b6db1621f4934b9c7542e432abc99bbd914fadfc51f6d28ef2
B-S1-POW-GEN,20260821_091725_23a854,generic_tool_agent,POWER,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/01_S1表头形式扰动/02_火电热力/03_通用工具调用型Agent/R1/session_export/session.jsonl,b7b0a6cca43b39c4c004c9d8e8ebbd67cd7438d1ab86c16d5c06d79eaeff86f1
B-S2-IND-GEN,20260821_094159_021d09,generic_tool_agent,INDUSTRIAL,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/02_S2等价别名扰动/01_工业锅炉/03_通用工具调用型Agent/R1/session_export/session.jsonl,4017f79730ef106b8144828ec972b1e6a742b4e18dfad62a12272f8026d0d0b7
B-S2-IND-FULL,20260821_100630_bef5fb,full,INDUSTRIAL,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/02_S2等价别名扰动/01_工业锅炉/01_Full完整方法/R1/session_export/session.jsonl,623ac69d2a57a8f137002973100a30e62404d62e36f6a48e0ef44c7d2ca01dc4
B-S2-POW-GEN,20260821_100819_312ebf,generic_tool_agent,POWER,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/02_S2等价别名扰动/02_火电热力/03_通用工具调用型Agent/R1/session_export/session.jsonl,db8890ad16267f81a5794b6468ae268e8672d568ae42e5c07ae30f868d363e49
B-S2-POW-FULL,20260821_103058_854c92,full,POWER,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/02_S2等价别名扰动/02_火电热力/01_Full完整方法/R1/session_export/session.jsonl,7c594b063b312f4f3ad30e85c7053f2081dec5c7c87e0430847af1f29f40f2ff
B-S3-IND-FULL,20260821_103210_9630fa,full,INDUSTRIAL,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/03_S3列与工作表顺序扰动/01_工业锅炉/01_Full完整方法/R1/session_export/session.jsonl,ce32eedf67ed68e92e358469b8df41047d7c96293813a617896a6704a22f2ce9
B-S3-IND-GEN,20260821_103413_6b3cfa,generic_tool_agent,INDUSTRIAL,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/03_S3列与工作表顺序扰动/01_工业锅炉/03_通用工具调用型Agent/R1/session_export/session.jsonl,9a34740eb69dbcb42535a46a6810eaaaa6ae9445348b8a21cdc5d8ab2d0ac7fc
B-S3-POW-GEN,20260821_110133_2921e1,generic_tool_agent,POWER,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/03_S3列与工作表顺序扰动/02_火电热力/03_通用工具调用型Agent/R1/session_export/session.jsonl,9a383574ead6ba241032f3f01cedc9311534f71748676afc3d0c6f8bb5558981
B-S3-POW-FULL,20260821_112438_dbc429,full,POWER,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/03_S3列与工作表顺序扰动/02_火电热力/01_Full完整方法/R1/session_export/session.jsonl,659390253b7293f0beb14821d14ad3c8284d4fed87b8c9c905729cf758a35526
B-S4-IND-GEN,20260821_112554_2acb2f,generic_tool_agent,INDUSTRIAL,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/04_S4组合扰动/01_工业锅炉/03_通用工具调用型Agent/R1/session_export/session.jsonl,da6d911f3eb98619025cc788b94adb1b5262979b1a8806d1a1e5019df31c68d1
B-S4-IND-FULL,20260821_115151_86f907,full,INDUSTRIAL,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/04_S4组合扰动/01_工业锅炉/01_Full完整方法/R1/session_export/session.jsonl,1b8e8294f33a61792a22e39db29ed76525bbc1f04fa44a04a2e4de163263ebb7
B-S4-POW-GEN,20260821_115323_71313e,generic_tool_agent,POWER,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/04_S4组合扰动/02_火电热力/03_通用工具调用型Agent/R1/session_export/session.jsonl,01c36bb406f379c3284569949f6e6708204bb0773f4311ba581028ee5262d600
B-S4-POW-FULL,20260821_121907_a2efc0,full,POWER,实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/04_S4组合扰动/02_火电热力/01_Full完整方法/R1/session_export/session.jsonl,c1a0f170e7f2c211d0e3fda31a42a2bd51204db5a18ae3045fd77171efebee12
B-B2-IND-GEN,20260821_122032_90004b,generic_tool_agent,INDUSTRIAL,实验结果/03_实验B_输入不变性与异常处置/02_B2受控缺失与冲突注入/01_工业锅炉/03_通用工具调用型Agent/R1/session_export/session.jsonl,fa14375f4c7131972b95c507c0a6f320581771323d3006737636d3356db90e77
