parameter_id,sector,department,combustion_technology,sulfur_to_bottom_ash,ash_to_bottom_ash,pm25_fraction,pm10_fraction,bc_fraction_of_pm25,oc_fraction_of_pm25,source_section,physical_pdf_page
C-01,电力热力源,电力生产,煤粉炉,0.15,0.25,0.06,0.23,0.002,0,附录C 表C.1、表C.2、表C.3,"40,41,42"
C-02,电力热力源,电力生产,流化床炉,0.15,0.44,0.07,0.29,0.002,0,附录C 表C.1、表C.2、表C.3,"40,41,42"
C-03,电力热力源,电力生产,自动炉排层燃炉,0.15,0.85,0.10,0.33,0.002,0,附录C 表C.1、表C.2、表C.3,"40,41,42"
C-04,电力热力源,电力供应,煤粉炉,0.15,0.25,0.06,0.23,,,附录C 表C.1、表C.2,"40,41"
C-05,电力热力源,电力供应,流化床炉,0.15,0.40,0.07,0.20,0.006,0,附录C 表C.1、表C.2、表C.3,"40,41,42"
C-06,电力热力源,电力供应,自动炉排层燃炉,0.15,0.85,0.07,0.20,0.200,0.040,附录C 表C.1、表C.2、表C.3,"40,41,42"
C-07,电力热力源,电力供应,手动炉排层燃炉,0.15,0.85,0.07,0.20,0.200,0.040,附录C 表C.1、表C.2、表C.3,"40,41,42"
C-08,电力热力源,热力生产和供应,煤粉炉,0.15,0.25,0.06,0.23,0.002,0,附录C 表C.1、表C.2、表C.3,"40,41,42"
C-09,电力热力源,热力生产和供应,流化床炉,0.15,0.44,0.07,0.29,0.002,0,附录C 表C.1、表C.2、表C.3,"40,41,42"
C-10,电力热力源,热力生产和供应,自动炉排层燃炉,0.15,0.85,0.10,0.33,0.002,0,附录C 表C.1、表C.2、表C.3,"40,41,42"
C-11,工业源,采矿业和制造业,煤粉炉,0.15,0.25,0.06,0.23,0.002,0,附录C 表C.1、表C.2、表C.3,"40,41,42"
C-12,工业源,采矿业和制造业,流化床炉,0.15,0.40,0.07,0.20,0.006,0,附录C 表C.1、表C.2、表C.3,"40,41,42"
C-13,工业源,采矿业和制造业,自动炉排层燃炉,0.15,0.85,0.07,0.20,0.200,0.040,附录C 表C.1、表C.2、表C.3,"40,41,42"
C-14,工业源,采矿业和制造业,手动炉排层燃炉,0.15,0.85,0.07,0.20,0.200,0.040,附录C 表C.1、表C.2、表C.3,"40,41,42"
