parameter_id,sector,department,fuel,combustion_technology,pollutant,mode,value,unit,capacity_condition,source_section,physical_pdf_page
E-MM-COAL-PF-CO,工业源,采矿业和制造业,煤炭,煤粉炉,CO,constant,2,g/kg燃料,,附录E 表E.7,54
E-MM-COAL-PF-NOX,工业源,采矿业和制造业,煤炭,煤粉炉,NOX,constant,5.47,g/kg燃料,,附录E 表E.7,54
E-MM-COAL-PF-SO2,工业源,采矿业和制造业,煤炭,煤粉炉,SO2,coal_sulfur_balance,,,,附录E 表E.7,54
E-MM-COAL-PF-VOCS,工业源,采矿业和制造业,煤炭,煤粉炉,VOCS,constant,2.16,g/kg燃料,,附录E 表E.7,54
E-MM-COAL-PF-PM25,工业源,采矿业和制造业,煤炭,煤粉炉,PM25,coal_particle_balance,,,,附录E 表E.7,54
E-MM-COAL-PF-PM10,工业源,采矿业和制造业,煤炭,煤粉炉,PM10,coal_particle_balance,,,,附录E 表E.7,54
E-MM-COAL-PF-BC,工业源,采矿业和制造业,煤炭,煤粉炉,BC,coal_particle_balance,,,,附录E 表E.7,54
E-MM-COAL-PF-OC,工业源,采矿业和制造业,煤炭,煤粉炉,OC,coal_particle_balance,,,,附录E 表E.7,54
E-MM-COAL-CFB-CO,工业源,采矿业和制造业,煤炭,流化床炉,CO,constant,2,g/kg燃料,,附录E 表E.7,54
E-MM-COAL-CFB-NOX,工业源,采矿业和制造业,煤炭,流化床炉,NOX,constant,7.5,g/kg燃料,,附录E 表E.7,54
E-MM-COAL-CFB-SO2,工业源,采矿业和制造业,煤炭,流化床炉,SO2,coal_sulfur_balance,,,,附录E 表E.7,54
E-MM-COAL-CFB-VOCS,工业源,采矿业和制造业,煤炭,流化床炉,VOCS,constant,2.16,g/kg燃料,,附录E 表E.7,54
E-MM-COAL-CFB-PM25,工业源,采矿业和制造业,煤炭,流化床炉,PM25,coal_particle_balance,,,,附录E 表E.7,54
E-MM-COAL-CFB-PM10,工业源,采矿业和制造业,煤炭,流化床炉,PM10,coal_particle_balance,,,,附录E 表E.7,54
E-MM-COAL-CFB-BC,工业源,采矿业和制造业,煤炭,流化床炉,BC,coal_particle_balance,,,,附录E 表E.7,54
E-MM-COAL-CFB-OC,工业源,采矿业和制造业,煤炭,流化床炉,OC,coal_particle_balance,,,,附录E 表E.7,54
E-MM-COAL-AUTOGRATE-CO,工业源,采矿业和制造业,煤炭,自动炉排层燃炉,CO,constant,15,g/kg燃料,,附录E 表E.7,54
E-MM-COAL-AUTOGRATE-NOX,工业源,采矿业和制造业,煤炭,自动炉排层燃炉,NOX,constant,4,g/kg燃料,,附录E 表E.7,54
E-MM-COAL-AUTOGRATE-SO2,工业源,采矿业和制造业,煤炭,自动炉排层燃炉,SO2,coal_sulfur_balance,,,,附录E 表E.7,54
E-MM-COAL-AUTOGRATE-VOCS,工业源,采矿业和制造业,煤炭,自动炉排层燃炉,VOCS,constant,2.16,g/kg燃料,,附录E 表E.7,54
E-MM-COAL-AUTOGRATE-PM25,工业源,采矿业和制造业,煤炭,自动炉排层燃炉,PM25,coal_particle_balance,,,,附录E 表E.7,54
