parameter_id,sector,department,fuel,combustion_technology,pollutant,mode,value,unit,capacity_condition,source_section,physical_pdf_page
D-EP-COAL-PF-CO,电力热力源,电力生产,煤炭,煤粉炉,CO,constant,2,g/kg燃料,,附录D 表D.1,43
D-EP-COAL-PF-NOX,电力热力源,电力生产,煤炭,煤粉炉,NOX,capacity_lookup,,g/kg燃料,"≤100MW:8.96;(100,300MW):8.19;≥300MW:7.21",附录D 表D.1,43
D-EP-COAL-PF-SO2,电力热力源,电力生产,煤炭,煤粉炉,SO2,coal_sulfur_balance,,,,附录D 表D.1,43
D-EP-COAL-PF-VOCS,电力热力源,电力生产,煤炭,煤粉炉,VOCS,constant,0.04,g/kg燃料,,附录D 表D.1,43
D-EP-COAL-PF-PM25,电力热力源,电力生产,煤炭,煤粉炉,PM25,coal_particle_balance,,,,附录D 表D.1,43
D-EP-COAL-PF-PM10,电力热力源,电力生产,煤炭,煤粉炉,PM10,coal_particle_balance,,,,附录D 表D.1,43
D-EP-COAL-PF-BC,电力热力源,电力生产,煤炭,煤粉炉,BC,coal_particle_balance,,,,附录D 表D.1,43
D-EP-COAL-PF-OC,电力热力源,电力生产,煤炭,煤粉炉,OC,coal_particle_balance,,,,附录D 表D.1,43
D-EP-COAL-CFB-CO,电力热力源,电力生产,煤炭,流化床炉,CO,constant,2,g/kg燃料,,附录D 表D.1,43
D-EP-COAL-CFB-NOX,电力热力源,电力生产,煤炭,流化床炉,NOX,capacity_lookup,,g/kg燃料,"≤100MW:8.96;(100,300MW):8.19;≥300MW:7.21",附录D 表D.1,43
D-EP-COAL-CFB-SO2,电力热力源,电力生产,煤炭,流化床炉,SO2,coal_sulfur_balance,,,,附录D 表D.1,43
D-EP-COAL-CFB-VOCS,电力热力源,电力生产,煤炭,流化床炉,VOCS,constant,0.04,g/kg燃料,,附录D 表D.1,43
D-EP-COAL-CFB-PM25,电力热力源,电力生产,煤炭,流化床炉,PM25,coal_particle_balance,,,,附录D 表D.1,43
D-EP-COAL-CFB-PM10,电力热力源,电力生产,煤炭,流化床炉,PM10,coal_particle_balance,,,,附录D 表D.1,43
D-EP-COAL-CFB-BC,电力热力源,电力生产,煤炭,流化床炉,BC,coal_particle_balance,,,,附录D 表D.1,43
D-EP-COAL-CFB-OC,电力热力源,电力生产,煤炭,流化床炉,OC,coal_particle_balance,,,,附录D 表D.1,43
D-EP-COAL-AUTOGRATE-CO,电力热力源,电力生产,煤炭,自动炉排层燃炉,CO,constant,8,g/kg燃料,,附录D 表D.1,43
D-EP-COAL-AUTOGRATE-NOX,电力热力源,电力生产,煤炭,自动炉排层燃炉,NOX,capacity_lookup,,g/kg燃料,"≤100MW:8.96;(100,300MW):8.19;≥300MW:7.21",附录D 表D.1,43
D-EP-COAL-AUTOGRATE-SO2,电力热力源,电力生产,煤炭,自动炉排层燃炉,SO2,coal_sulfur_balance,,,,附录D 表D.1,43
