source_id,target,human_scope_decision,human_workbook_row,mapping_method,raw_base102_row,raw_base102_sequence,inventory_year,pseudonymous_entity_id,industry_code,target_equipment_value,enterprise_master_present,enterprise_control_row_count
SRC-RAW-90E067EFFFEEA507E10F,INDUSTRIAL,include,2,exact_semantic_signature_order,2,21,2022,CREDIT-C9D343F48167,2730,燃气锅炉,True,0
SRC-RAW-14966318FE4415CD8006,INDUSTRIAL,not_selected_for_target,,absence_from_expert_target_workbook,3,21,2022,CREDIT-AD57CF097582,1819,燃生物质锅炉,True,2
SRC-RAW-F8E0B7E08DAADCB14468,INDUSTRIAL,include,3,exact_semantic_signature_order,4,21,2022,CREDIT-C54FA213A9EE,2720,燃气锅炉,True,0
SRC-RAW-B744EE7E106839022BD3,INDUSTRIAL,include,4,exact_semantic_signature_order,5,21,2022,CREDIT-0E8DBDCD9519,1620,燃气锅炉,True,8
SRC-RAW-53C0C027EE5030DB33CA,INDUSTRIAL,include,5,exact_semantic_signature_order,6,22,2022,CREDIT-0E8DBDCD9519,1620,燃气锅炉,True,8
SRC-RAW-BF68CECF15B3C0A42682,INDUSTRIAL,include,6,exact_semantic_signature_order,7,23,2022,CREDIT-0E8DBDCD9519,1620,燃气锅炉,True,8
SRC-RAW-9615643551D6AEA70C65,INDUSTRIAL,include,7,exact_semantic_signature_order,8,24,2022,CREDIT-0E8DBDCD9519,1620,燃气锅炉,True,8
SRC-RAW-BC62233552CB4DCAF9DE,INDUSTRIAL,include,8,exact_semantic_signature_order,9,21,2022,CREDIT-9B790905C57C,4341,燃油锅炉,True,1
SRC-RAW-1EDC61156AC774B677F7,INDUSTRIAL,include,9,exact_semantic_signature_order,10,21,2022,CREDIT-50E353101CFA,2740,燃气锅炉,True,1
SRC-RAW-791E9DD016C7F71E18C9,INDUSTRIAL,include,10,exact_semantic_signature_order,11,22,2022,CREDIT-50E353101CFA,2740,燃气锅炉,True,1
SRC-RAW-F4EAA8D6333BE5AD0EE2,INDUSTRIAL,include,11,exact_semantic_signature_order,12,21,2022,CREDIT-66A006B57692,2740,燃气锅炉,True,1
SRC-RAW-65DF650E16BB4C789E43,INDUSTRIAL,include,12,exact_semantic_signature_order,13,21,2022,CREDIT-D2ACF531BDB6,2720,燃气锅炉,True,1
SRC-RAW-1750FB80D8F09E37E049,INDUSTRIAL,include,13,exact_semantic_signature_order,14,22,2022,CREDIT-D2ACF531BDB6,2720,燃气锅炉,True,1
SRC-RAW-93AFE5B601EF8715A8C5,INDUSTRIAL,include,14,exact_semantic_signature_order,15,21,2022,CREDIT-B5A2824D62A9,2720,燃气锅炉,True,4
SRC-RAW-52BE56FF4FB26396519E,INDUSTRIAL,include,15,exact_semantic_signature_order,16,21,2022,CREDIT-BAAE71F76409,2720,燃气锅炉,True,2
SRC-RAW-4959FD9C382CABC0D2A9,INDUSTRIAL,include,16,exact_semantic_signature_order,17,22,2022,CREDIT-BAAE71F76409,2720,燃气锅炉,True,2
SRC-RAW-CD8ABFD8E450CE593F97,INDUSTRIAL,include,17,exact_semantic_signature_order,18,21,2022,CREDIT-F6BC15D9DE98,2231,燃气锅炉,True,0
SRC-RAW-11A00DBFA59E61614CAC,INDUSTRIAL,include,18,exact_semantic_signature_order,19,21,2022,CREDIT-405A7F3DFA18,1391,燃气锅炉,True,0
SRC-RAW-B67E46C32CE68325C5EB,INDUSTRIAL,include,19,exact_semantic_signature_order,20,22,2022,CREDIT-405A7F3DFA18,1391,燃气锅炉,True,0
SRC-RAW-165B26BBFC1142CE05A3,INDUSTRIAL,include,20,exact_semantic_signature_order,21,23,2022,CREDIT-405A7F3DFA18,1391,燃气锅炉,True,0
SRC-RAW-20E1D64632E03126253B,INDUSTRIAL,include,21,exact_semantic_signature_order,22,21,2022,CREDIT-FAEF13C9329A,1431,燃气锅炉,True,0
SRC-RAW-9A1285C2AE6ABE7DA36D,INDUSTRIAL,include,22,exact_semantic_signature_order,23,21,2022,CREDIT-03839B7A3822,1441,燃气锅炉,True,0
SRC-RAW-A176F466419524F5BBD1,INDUSTRIAL,include,23,exact_semantic_signature_order,24,22,2022,CREDIT-03839B7A3822,1441,燃气锅炉,True,0
SRC-RAW-5A9A09E7A093E3F05394,INDUSTRIAL,include,24,exact_semantic_signature_order,25,23,2022,CREDIT-03839B7A3822,1441,燃气锅炉,True,0
