exception_id,source_id,observation_id,target,human_workbook_row,pollutant,category,description
HUMAN-V2-INDUSTRIAL-000001,SRC-RAW-90E067EFFFEEA507E10F,SRC-RAW-90E067EFFFEEA507E10F,INDUSTRIAL,2,SO2,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-INDUSTRIAL-000002,SRC-RAW-90E067EFFFEEA507E10F,SRC-RAW-90E067EFFFEEA507E10F,INDUSTRIAL,2,NOx,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-INDUSTRIAL-000003,SRC-RAW-90E067EFFFEEA507E10F,SRC-RAW-90E067EFFFEEA507E10F,INDUSTRIAL,2,CO,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-INDUSTRIAL-000004,SRC-RAW-90E067EFFFEEA507E10F,SRC-RAW-90E067EFFFEEA507E10F,INDUSTRIAL,2,VOC,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-INDUSTRIAL-000005,SRC-RAW-90E067EFFFEEA507E10F,SRC-RAW-90E067EFFFEEA507E10F,INDUSTRIAL,2,PM10,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-INDUSTRIAL-000006,SRC-RAW-90E067EFFFEEA507E10F,SRC-RAW-90E067EFFFEEA507E10F,INDUSTRIAL,2,PM2.5,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-INDUSTRIAL-000007,SRC-RAW-90E067EFFFEEA507E10F,SRC-RAW-90E067EFFFEEA507E10F,INDUSTRIAL,2,BC,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-INDUSTRIAL-000008,SRC-RAW-90E067EFFFEEA507E10F,SRC-RAW-90E067EFFFEEA507E10F,INDUSTRIAL,2,OC,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-INDUSTRIAL-000009,SRC-RAW-90E067EFFFEEA507E10F,SRC-RAW-90E067EFFFEEA507E10F,INDUSTRIAL,2,NH3,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-INDUSTRIAL-000010,SRC-RAW-F8E0B7E08DAADCB14468,SRC-RAW-F8E0B7E08DAADCB14468,INDUSTRIAL,3,SO2,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-INDUSTRIAL-000011,SRC-RAW-F8E0B7E08DAADCB14468,SRC-RAW-F8E0B7E08DAADCB14468,INDUSTRIAL,3,NOx,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-INDUSTRIAL-000012,SRC-RAW-F8E0B7E08DAADCB14468,SRC-RAW-F8E0B7E08DAADCB14468,INDUSTRIAL,3,CO,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-INDUSTRIAL-000013,SRC-RAW-F8E0B7E08DAADCB14468,SRC-RAW-F8E0B7E08DAADCB14468,INDUSTRIAL,3,VOC,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
