exception_id,source_id,observation_id,target,human_workbook_row,pollutant,category,description
HUMAN-V2-POWER-000001,SRC-RAW-B4BC1019B13822BA6B72,SRC-RAW-B4BC1019B13822BA6B72::HUMAN-EXTRA-000430,POWER,430,SO2,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000002,SRC-RAW-B4BC1019B13822BA6B72,SRC-RAW-B4BC1019B13822BA6B72::HUMAN-EXTRA-000430,POWER,430,NOx,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000003,SRC-RAW-B4BC1019B13822BA6B72,SRC-RAW-B4BC1019B13822BA6B72::HUMAN-EXTRA-000430,POWER,430,CO,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000004,SRC-RAW-B4BC1019B13822BA6B72,SRC-RAW-B4BC1019B13822BA6B72::HUMAN-EXTRA-000430,POWER,430,VOC,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000005,SRC-RAW-B4BC1019B13822BA6B72,SRC-RAW-B4BC1019B13822BA6B72::HUMAN-EXTRA-000430,POWER,430,PM10,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000006,SRC-RAW-B4BC1019B13822BA6B72,SRC-RAW-B4BC1019B13822BA6B72::HUMAN-EXTRA-000430,POWER,430,PM2.5,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000007,SRC-RAW-B4BC1019B13822BA6B72,SRC-RAW-B4BC1019B13822BA6B72::HUMAN-EXTRA-000430,POWER,430,BC,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000008,SRC-RAW-B4BC1019B13822BA6B72,SRC-RAW-B4BC1019B13822BA6B72::HUMAN-EXTRA-000430,POWER,430,OC,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000009,SRC-RAW-B4BC1019B13822BA6B72,SRC-RAW-B4BC1019B13822BA6B72::HUMAN-EXTRA-000430,POWER,430,NH3,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000010,SRC-RAW-E80B7DDD5E7ECF15F30E,SRC-RAW-E80B7DDD5E7ECF15F30E::HUMAN-EXTRA-000431,POWER,431,SO2,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000011,SRC-RAW-E80B7DDD5E7ECF15F30E,SRC-RAW-E80B7DDD5E7ECF15F30E::HUMAN-EXTRA-000431,POWER,431,NOx,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000012,SRC-RAW-E80B7DDD5E7ECF15F30E,SRC-RAW-E80B7DDD5E7ECF15F30E::HUMAN-EXTRA-000431,POWER,431,CO,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000013,SRC-RAW-E80B7DDD5E7ECF15F30E,SRC-RAW-E80B7DDD5E7ECF15F30E::HUMAN-EXTRA-000431,POWER,431,VOC,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000014,SRC-RAW-E80B7DDD5E7ECF15F30E,SRC-RAW-E80B7DDD5E7ECF15F30E::HUMAN-EXTRA-000431,POWER,431,PM10,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000015,SRC-RAW-E80B7DDD5E7ECF15F30E,SRC-RAW-E80B7DDD5E7ECF15F30E::HUMAN-EXTRA-000431,POWER,431,PM2.5,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000016,SRC-RAW-E80B7DDD5E7ECF15F30E,SRC-RAW-E80B7DDD5E7ECF15F30E::HUMAN-EXTRA-000431,POWER,431,BC,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000017,SRC-RAW-E80B7DDD5E7ECF15F30E,SRC-RAW-E80B7DDD5E7ECF15F30E::HUMAN-EXTRA-000431,POWER,431,OC,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000018,SRC-RAW-E80B7DDD5E7ECF15F30E,SRC-RAW-E80B7DDD5E7ECF15F30E::HUMAN-EXTRA-000431,POWER,431,NH3,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000019,SRC-RAW-63C74C970704DB13D46B,SRC-RAW-63C74C970704DB13D46B::HUMAN-EXTRA-000432,POWER,432,SO2,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000020,SRC-RAW-63C74C970704DB13D46B,SRC-RAW-63C74C970704DB13D46B::HUMAN-EXTRA-000432,POWER,432,NOx,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000021,SRC-RAW-63C74C970704DB13D46B,SRC-RAW-63C74C970704DB13D46B::HUMAN-EXTRA-000432,POWER,432,CO,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000022,SRC-RAW-63C74C970704DB13D46B,SRC-RAW-63C74C970704DB13D46B::HUMAN-EXTRA-000432,POWER,432,VOC,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000023,SRC-RAW-63C74C970704DB13D46B,SRC-RAW-63C74C970704DB13D46B::HUMAN-EXTRA-000432,POWER,432,PM10,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000024,SRC-RAW-63C74C970704DB13D46B,SRC-RAW-63C74C970704DB13D46B::HUMAN-EXTRA-000432,POWER,432,PM2.5,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000025,SRC-RAW-63C74C970704DB13D46B,SRC-RAW-63C74C970704DB13D46B::HUMAN-EXTRA-000432,POWER,432,BC,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000026,SRC-RAW-63C74C970704DB13D46B,SRC-RAW-63C74C970704DB13D46B::HUMAN-EXTRA-000432,POWER,432,OC,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000027,SRC-RAW-63C74C970704DB13D46B,SRC-RAW-63C74C970704DB13D46B::HUMAN-EXTRA-000432,POWER,432,NH3,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
HUMAN-V2-POWER-000028,SRC-RAW-1AE27443669F5EB68673,SRC-RAW-1AE27443669F5EB68673::HUMAN-EXTRA-000433,POWER,433,SO2,HUMAN_TOTAL_NOT_REPORTED,generation or final emission total is not numerically observable in the supplied workbook
