workbook,source_valid_rows,expected_source_pollutant_rows,exported_rows,complete_unique_row_coverage,original_workbook_hash_unchanged,scope_decisions_byte_identical_to_prior,inventory_year_counts,scope_source_count
实验结果/02_实验A_端到端清单编制/01_工业锅炉/04_既有专家主导型/结果/固定燃烧源-工业锅炉_调整.xlsx,4160,37440,37440,True,True,True,"{""2022"": 4160}",4160
实验结果/02_实验A_端到端清单编制/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,426,3834,3834,True,True,True,"{""2022"": 426}",426
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/01_工业锅炉/04_既有专家主导型/结果/固定燃烧源-工业锅炉_调整.xlsx,4160,37440,37440,True,True,True,"{""2022"": 4160}",4160
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,426,3834,3834,True,True,True,"{""2022"": 426}",426
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/01_S1表头形式扰动/01_工业锅炉/04_既有专家主导型/结果/固定燃烧源-工业锅炉_调整.xlsx,4160,37440,37440,True,True,True,"{""2022"": 4160}",4160
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/01_S1表头形式扰动/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,426,3834,3834,True,True,True,"{""2022"": 426}",426
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/02_S2等价别名扰动/01_工业锅炉/04_既有专家主导型/结果/固定燃烧源-工业锅炉_调整.xlsx,4160,37440,37440,True,True,True,"{""2022"": 4160}",4160
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/02_S2等价别名扰动/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,426,3834,3834,True,True,True,"{""2022"": 426}",426
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/03_S3列与工作表顺序扰动/01_工业锅炉/04_既有专家主导型/结果/固定燃烧源-工业锅炉_调整.xlsx,4160,37440,37440,True,True,True,"{""2022"": 4160}",4160
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/03_S3列与工作表顺序扰动/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,426,3834,3834,True,True,True,"{""2022"": 426}",426
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/04_S4组合扰动/01_工业锅炉/04_既有专家主导型/结果/固定燃烧源-工业锅炉_调整.xlsx,4160,37440,37440,True,True,True,"{""2022"": 4160}",4160
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/04_S4组合扰动/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,426,3834,3834,True,True,True,"{""2022"": 426}",426
实验结果/03_实验B_输入不变性与异常处置/02_B2受控缺失与冲突注入/01_工业锅炉/04_既有专家主导型/结果/固定燃烧源-工业锅炉_调整.xlsx,4160,37440,37440,True,True,True,"{""2022"": 4160}",4160
实验结果/03_实验B_输入不变性与异常处置/02_B2受控缺失与冲突注入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,441,3969,3969,True,True,True,"{""2022"": 441}",426
