experiment,run_id,method,scenario,target,scale_percent,input_variant,repetition,order_group,method_bundle_hash,runner,status,sequence
A,A-IND-FULL-R1,full,full,INDUSTRIAL,100,B0,1,A-R1-INDUSTRIAL,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,1
A,A-IND-GEN-R1,generic_tool_agent,generic_tool_agent,INDUSTRIAL,100,B0,1,A-R1-INDUSTRIAL,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,2
A,A-IND-DET-R1,deterministic_program,simple_deterministic,INDUSTRIAL,100,B0,1,A-R1-INDUSTRIAL,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,3
A,A-POW-FULL-R1,full,full,POWER,100,B0,1,A-R1-POWER,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,4
A,A-POW-GEN-R1,generic_tool_agent,generic_tool_agent,POWER,100,B0,1,A-R1-POWER,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,5
A,A-POW-DET-R1,deterministic_program,simple_deterministic,POWER,100,B0,1,A-R1-POWER,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,6
A,A-IND-FULL-R2,full,full,INDUSTRIAL,100,B0,2,A-R2-INDUSTRIAL,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,7
A,A-IND-DET-R2,deterministic_program,simple_deterministic,INDUSTRIAL,100,B0,2,A-R2-INDUSTRIAL,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,8
A,A-IND-GEN-R2,generic_tool_agent,generic_tool_agent,INDUSTRIAL,100,B0,2,A-R2-INDUSTRIAL,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,9
A,A-POW-DET-R2,deterministic_program,simple_deterministic,POWER,100,B0,2,A-R2-POWER,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,10
A,A-POW-FULL-R2,full,full,POWER,100,B0,2,A-R2-POWER,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,11
A,A-POW-GEN-R2,generic_tool_agent,generic_tool_agent,POWER,100,B0,2,A-R2-POWER,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,12
A,A-IND-DET-R3,deterministic_program,simple_deterministic,INDUSTRIAL,100,B0,3,A-R3-INDUSTRIAL,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,13
A,A-IND-FULL-R3,full,full,INDUSTRIAL,100,B0,3,A-R3-INDUSTRIAL,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,14
A,A-IND-GEN-R3,generic_tool_agent,generic_tool_agent,INDUSTRIAL,100,B0,3,A-R3-INDUSTRIAL,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,15
A,A-POW-GEN-R3,generic_tool_agent,generic_tool_agent,POWER,100,B0,3,A-R3-POWER,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,16
A,A-POW-DET-R3,deterministic_program,simple_deterministic,POWER,100,B0,3,A-R3-POWER,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,17
A,A-POW-FULL-R3,full,full,POWER,100,B0,3,A-R3-POWER,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,18
A,A-IND-HUM,expert_led,expert_led,INDUSTRIAL,100,B0,,A-HUM,161a87caf8d321e02cbed43908a15eca07bec877dfb53ed8fc1d9723254e9813,user_supplied,provided,19
A,A-POW-HUM,expert_led,expert_led,POWER,100,B0,,A-HUM,161a87caf8d321e02cbed43908a15eca07bec877dfb53ed8fc1d9723254e9813,user_supplied,provided,20
B,B-B0-IND-GEN,generic_tool_agent,generic_tool_agent,INDUSTRIAL,100,B0,1,B-B0-INDUSTRIAL,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,21
B,B-B0-IND-FULL,full,full,INDUSTRIAL,100,B0,1,B-B0-INDUSTRIAL,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,22
B,B-B0-IND-DET,deterministic_program,simple_deterministic,INDUSTRIAL,100,B0,1,B-B0-INDUSTRIAL,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,23
B,B-B0-IND-HUM,expert_led,expert_led,INDUSTRIAL,100,B0,,B-B0-INDUSTRIAL,161a87caf8d321e02cbed43908a15eca07bec877dfb53ed8fc1d9723254e9813,user_supplied,provided,24
B,B-B0-POW-DET,deterministic_program,simple_deterministic,POWER,100,B0,1,B-B0-POWER,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,25
B,B-B0-POW-FULL,full,full,POWER,100,B0,1,B-B0-POWER,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,26
B,B-B0-POW-GEN,generic_tool_agent,generic_tool_agent,POWER,100,B0,1,B-B0-POWER,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,27
B,B-B0-POW-HUM,expert_led,expert_led,POWER,100,B0,,B-B0-POWER,161a87caf8d321e02cbed43908a15eca07bec877dfb53ed8fc1d9723254e9813,user_supplied,provided,28
B,B-S1-IND-GEN,generic_tool_agent,generic_tool_agent,INDUSTRIAL,100,S1,1,B-S1-INDUSTRIAL,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,29
B,B-S1-IND-FULL,full,full,INDUSTRIAL,100,S1,1,B-S1-INDUSTRIAL,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,30
B,B-S1-IND-DET,deterministic_program,simple_deterministic,INDUSTRIAL,100,S1,1,B-S1-INDUSTRIAL,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,31
B,B-S1-IND-HUM,expert_led,expert_led,INDUSTRIAL,100,S1,,B-S1-INDUSTRIAL,161a87caf8d321e02cbed43908a15eca07bec877dfb53ed8fc1d9723254e9813,user_supplied,provided,32
B,B-S1-POW-FULL,full,full,POWER,100,S1,1,B-S1-POWER,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,33
B,B-S1-POW-GEN,generic_tool_agent,generic_tool_agent,POWER,100,S1,1,B-S1-POWER,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,34
B,B-S1-POW-DET,deterministic_program,simple_deterministic,POWER,100,S1,1,B-S1-POWER,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,35
B,B-S1-POW-HUM,expert_led,expert_led,POWER,100,S1,,B-S1-POWER,161a87caf8d321e02cbed43908a15eca07bec877dfb53ed8fc1d9723254e9813,user_supplied,provided,36
B,B-S2-IND-GEN,generic_tool_agent,generic_tool_agent,INDUSTRIAL,100,S2,1,B-S2-INDUSTRIAL,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,37
B,B-S2-IND-DET,deterministic_program,simple_deterministic,INDUSTRIAL,100,S2,1,B-S2-INDUSTRIAL,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,38
B,B-S2-IND-FULL,full,full,INDUSTRIAL,100,S2,1,B-S2-INDUSTRIAL,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,39
B,B-S2-IND-HUM,expert_led,expert_led,INDUSTRIAL,100,S2,,B-S2-INDUSTRIAL,161a87caf8d321e02cbed43908a15eca07bec877dfb53ed8fc1d9723254e9813,user_supplied,provided,40
B,B-S2-POW-GEN,generic_tool_agent,generic_tool_agent,POWER,100,S2,1,B-S2-POWER,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,41
B,B-S2-POW-DET,deterministic_program,simple_deterministic,POWER,100,S2,1,B-S2-POWER,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,42
B,B-S2-POW-FULL,full,full,POWER,100,S2,1,B-S2-POWER,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,43
B,B-S2-POW-HUM,expert_led,expert_led,POWER,100,S2,,B-S2-POWER,161a87caf8d321e02cbed43908a15eca07bec877dfb53ed8fc1d9723254e9813,user_supplied,provided,44
B,B-S3-IND-FULL,full,full,INDUSTRIAL,100,S3,1,B-S3-INDUSTRIAL,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,45
B,B-S3-IND-GEN,generic_tool_agent,generic_tool_agent,INDUSTRIAL,100,S3,1,B-S3-INDUSTRIAL,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,46
B,B-S3-IND-DET,deterministic_program,simple_deterministic,INDUSTRIAL,100,S3,1,B-S3-INDUSTRIAL,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,47
B,B-S3-IND-HUM,expert_led,expert_led,INDUSTRIAL,100,S3,,B-S3-INDUSTRIAL,161a87caf8d321e02cbed43908a15eca07bec877dfb53ed8fc1d9723254e9813,user_supplied,provided,48
B,B-S3-POW-GEN,generic_tool_agent,generic_tool_agent,POWER,100,S3,1,B-S3-POWER,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,49
B,B-S3-POW-DET,deterministic_program,simple_deterministic,POWER,100,S3,1,B-S3-POWER,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,50
B,B-S3-POW-FULL,full,full,POWER,100,S3,1,B-S3-POWER,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,51
B,B-S3-POW-HUM,expert_led,expert_led,POWER,100,S3,,B-S3-POWER,161a87caf8d321e02cbed43908a15eca07bec877dfb53ed8fc1d9723254e9813,user_supplied,provided,52
B,B-S4-IND-GEN,generic_tool_agent,generic_tool_agent,INDUSTRIAL,100,S4,1,B-S4-INDUSTRIAL,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,53
B,B-S4-IND-FULL,full,full,INDUSTRIAL,100,S4,1,B-S4-INDUSTRIAL,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,54
B,B-S4-IND-DET,deterministic_program,simple_deterministic,INDUSTRIAL,100,S4,1,B-S4-INDUSTRIAL,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,55
B,B-S4-IND-HUM,expert_led,expert_led,INDUSTRIAL,100,S4,,B-S4-INDUSTRIAL,161a87caf8d321e02cbed43908a15eca07bec877dfb53ed8fc1d9723254e9813,user_supplied,provided,56
B,B-S4-POW-GEN,generic_tool_agent,generic_tool_agent,POWER,100,S4,1,B-S4-POWER,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,57
B,B-S4-POW-DET,deterministic_program,simple_deterministic,POWER,100,S4,1,B-S4-POWER,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,58
B,B-S4-POW-FULL,full,full,POWER,100,S4,1,B-S4-POWER,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,59
B,B-S4-POW-HUM,expert_led,expert_led,POWER,100,S4,,B-S4-POWER,161a87caf8d321e02cbed43908a15eca07bec877dfb53ed8fc1d9723254e9813,user_supplied,provided,60
B,B-B2-IND-DET,deterministic_program,simple_deterministic,INDUSTRIAL,100,B2,1,B-B2-INDUSTRIAL,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,61
B,B-B2-IND-GEN,generic_tool_agent,generic_tool_agent,INDUSTRIAL,100,B2,1,B-B2-INDUSTRIAL,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,62
B,B-B2-IND-FULL,full,full,INDUSTRIAL,100,B2,1,B-B2-INDUSTRIAL,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,63
B,B-B2-IND-HUM,expert_led,expert_led,INDUSTRIAL,100,B2,,B-B2-INDUSTRIAL,161a87caf8d321e02cbed43908a15eca07bec877dfb53ed8fc1d9723254e9813,user_supplied,provided,64
B,B-B2-POW-GEN,generic_tool_agent,generic_tool_agent,POWER,100,B2,1,B-B2-POWER,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,65
B,B-B2-POW-FULL,full,full,POWER,100,B2,1,B-B2-POWER,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,66
B,B-B2-POW-DET,deterministic_program,simple_deterministic,POWER,100,B2,1,B-B2-POWER,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,67
B,B-B2-POW-HUM,expert_led,expert_led,POWER,100,B2,,B-B2-POWER,161a87caf8d321e02cbed43908a15eca07bec877dfb53ed8fc1d9723254e9813,user_supplied,provided,68
C,C-25-IND-GEN-R1,generic_tool_agent,generic_tool_agent,INDUSTRIAL,25,B0,1,C-R1-25-INDUSTRIAL,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,69
C,C-25-IND-DET-R1,deterministic_program,simple_deterministic,INDUSTRIAL,25,B0,1,C-R1-25-INDUSTRIAL,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,70
C,C-25-IND-FULL-R1,full,full,INDUSTRIAL,25,B0,1,C-R1-25-INDUSTRIAL,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,71
C,C-25-POW-FULL-R1,full,full,POWER,25,B0,1,C-R1-25-POWER,c42349a958331f3834d13145a20f0d6c62eb2880683ec76fbf6223b4df74002b,full_agent,pending,72
C,C-25-POW-DET-R1,deterministic_program,simple_deterministic,POWER,25,B0,1,C-R1-25-POWER,09884351b6f2ad68657c8408072c272aafe88ddcee0bdcbe7805ff7d67d9441a,deterministic,pending,73
C,C-25-POW-GEN-R1,generic_tool_agent,generic_tool_agent,POWER,25,B0,1,C-R1-25-POWER,99783b8867b213f4eb18c314c4dc28d91d1ea1da9a1c61601c71d4267d823ade,generic_agent,pending,74
