experiment,run_id,method,target,input_variant,scale_percent,repetition,D,D_passed,D_applicable,D_NA,N,N_passed,N_applicable,N_NA,E,EICPI_core_0_100,record_count,seconds_per_record,method_boundary_status,method_boundary_failures,method_boundary_warnings
A,A-IND-FULL-R1,full,INDUSTRIAL,B0,100,1,1.0,109067,109067,3775,1.0,110573,110573,2588,0.7127277449233481,91.38183234770044,4046,0.025500621900146687,pass,[],[]
A,A-IND-GEN-R1,generic_tool_agent,INDUSTRIAL,B0,100,1,0.5964537511574817,65057,109073,3775,0.837136099304654,94146,112462,12102,0.4002546534684965,62.18328437022964,4046,0.3719709546361807,pass,[],[]
A,A-IND-DET-R1,deterministic_program,INDUSTRIAL,B0,100,1,0.8947190033435625,97672,109165,3775,0.9315462036434928,95980,103033,10138,1.0,93.91928224454693,4046,0.0021700278465238776,not_applicable,[],[]
A,A-POW-FULL-R1,full,POWER,B0,100,1,1.0,17974,17974,464,1.0,12532,12532,4430,0.6598243600287482,89.79473080086244,615,0.13245518468784137,pass,[],[]
A,A-POW-GEN-R1,generic_tool_agent,POWER,B0,100,1,0.38522310003338156,6924,17974,464,0.16229566634414624,9561,58911,5794,0.24728022812770345,26.581563667044573,615,2.1609067692406234,pass,[],[]
A,A-POW-DET-R1,deterministic_program,POWER,B0,100,1,0.8546985035211268,15535,18176,464,0.8857808857808858,10260,11583,5378,1.0,90.91677862557044,615,0.01324983319841189,not_applicable,[],[]
A,A-IND-FULL-R2,full,INDUSTRIAL,B0,100,2,1.0,109067,109067,3775,1.0,110573,110573,2588,0.7292784220846736,91.87835266254021,4046,0.022125837164360142,pass,[],[]
A,A-IND-DET-R2,deterministic_program,INDUSTRIAL,B0,100,2,0.8947190033435625,97672,109165,3775,0.9315462036434928,95980,103033,10138,0.9985697082194579,93.87637349113066,4046,0.0021968131796858545,not_applicable,[],[]
A,A-IND-GEN-R2,generic_tool_agent,INDUSTRIAL,B0,100,2,0.5714180931337044,62324,109069,3775,0.8408404112650871,94048,111850,11914,0.4235580234774857,62.13578835828228,4046,0.3045820286599186,pass,[],[]
A,A-POW-DET-R2,deterministic_program,POWER,B0,100,2,0.8546985035211268,15535,18176,464,0.8857808857808858,10260,11583,5378,0.9989449146646945,90.88512606551127,615,0.013344784416315123,not_applicable,[],[]
A,A-POW-FULL-R2,full,POWER,B0,100,2,1.0,17974,17974,464,1.0,12532,12532,4430,0.6639955749454378,89.91986724836313,615,0.12876823773660614,pass,[],[]
A,A-POW-GEN-R2,generic_tool_agent,POWER,B0,100,2,0.35061179087875416,6304,17980,464,0.741809592276882,7223,9737,7118,0.24837639169295245,45.68604016123584,615,2.1449350198503674,pass,[],[]
A,A-IND-DET-R3,deterministic_program,INDUSTRIAL,B0,100,3,0.8947190033435625,97672,109165,3775,0.9315462036434928,95980,103033,10138,1.0,93.91928224454693,4046,0.002167199847761572,not_applicable,[],[]
A,A-IND-FULL-R3,full,INDUSTRIAL,B0,100,3,1.0,109067,109067,3775,1.0,110573,110573,2588,0.7177248610676843,91.53174583203052,4046,0.024430737559801245,pass,[],[]
A,A-IND-GEN-R3,generic_tool_agent,INDUSTRIAL,B0,100,3,0.6075525555176562,67685,111406,3775,0.8410200457141037,105601,125563,4652,0.395628812870003,62.56890542921168,4046,0.38702607552718427,fail,"[""GENERIC_ACCESSED_PATH_OUTSIDE_RUN_PACKAGE""]",[]
