experiment,run_id,method,target,input_variant,scale_percent,repetition,D,D_regular,D_exception,D_exception_detection_f1,D_root_cause_macro_jaccard,D_exception_disposition_accuracy,D_passed,D_applicable,D_NA,N,N_passed,N_applicable,N_NA,E,EICPI_core_0_100,record_count,seconds_per_record,method_boundary_status,method_boundary_failures,method_boundary_warnings
A,A-IND-FULL-R1,full,INDUSTRIAL,B0,100,1,1.0,1.0,1.0,1.0,1.0,1.0,109067,109067,3775,1.0,110573,110573,2588,0.7127277449233481,91.38183234770044,4046,0.025500621900146687,pass,[],[]
A,A-IND-GEN-R1,generic_tool_agent,INDUSTRIAL,B0,100,1,0.2993173351324774,0.5948032526404337,0.0038314176245210726,0.022727272727272724,0.3333333333333333,0.3424124513618677,65057,109073,3775,0.837136099304654,94146,112462,12102,0.4002546534684965,51.78350980935449,4046,0.3719709546361807,pass,[],[]
A,A-IND-DET-R1,deterministic_program,INDUSTRIAL,B0,100,1,0.44919618655949156,0.8983923731189831,0.0,0.552112676056338,0.0,0.3852140077821012,97672,109165,3775,0.9315462036434928,95980,103033,10138,1.0,78.32598365710446,4046,0.0021700278465238776,not_applicable,[],[]
A,A-POW-FULL-R1,full,POWER,B0,100,1,1.0,1.0,1.0,1.0,1.0,1.0,17974,17974,464,1.0,12532,12532,4430,0.6598243600287482,89.79473080086244,615,0.13245518468784137,pass,[],[]
A,A-POW-GEN-R1,generic_tool_agent,POWER,B0,100,1,0.16323631542395353,0.32647263084790706,0.0,0.0,,0.9573643410852714,6924,17974,464,0.16229566634414624,9561,58911,5794,0.24728022812770345,18.812026205714595,615,2.1609067692406234,pass,[],[]
A,A-POW-DET-R1,deterministic_program,POWER,B0,100,1,0.4386324894248374,0.8772649788496748,0.0,0.8695652173913044,0.0,0.46511627906976744,15535,18176,464,0.8857808857808858,10260,11583,5378,1.0,76.35446813220031,615,0.01324983319841189,not_applicable,[],[]
A,A-IND-FULL-R2,full,INDUSTRIAL,B0,100,2,1.0,1.0,1.0,1.0,1.0,1.0,109067,109067,3775,1.0,110573,110573,2588,0.7292784220846736,91.87835266254021,4046,0.022125837164360142,pass,[],[]
A,A-IND-DET-R2,deterministic_program,INDUSTRIAL,B0,100,2,0.44919618655949156,0.8983923731189831,0.0,0.552112676056338,0.0,0.3852140077821012,97672,109165,3775,0.9315462036434928,95980,103033,10138,0.9985697082194579,78.28307490368819,4046,0.0021968131796858545,not_applicable,[],[]
A,A-IND-GEN-R2,generic_tool_agent,INDUSTRIAL,B0,100,2,0.28782451594766156,0.5717730629030751,0.003875968992248062,0.015384615384615385,0.5,0.3463035019455253,62324,109069,3775,0.8408404112650871,94048,111850,11914,0.4235580234774857,52.21001315677077,4046,0.3045820286599186,pass,[],[]
A,A-POW-DET-R2,deterministic_program,POWER,B0,100,2,0.4386324894248374,0.8772649788496748,0.0,0.8695652173913044,0.0,0.46511627906976744,15535,18176,464,0.8857808857808858,10260,11583,5378,0.9989449146646945,76.32281557214114,615,0.013344784416315123,not_applicable,[],[]
A,A-POW-FULL-R2,full,POWER,B0,100,2,1.0,1.0,1.0,1.0,1.0,1.0,17974,17974,464,1.0,12532,12532,4430,0.6639955749454378,89.91986724836313,615,0.12876823773660614,pass,[],[]
A,A-POW-GEN-R2,generic_tool_agent,POWER,B0,100,2,0.1457937432436796,0.28777069259422944,0.003816793893129771,0.022641509433962263,0.3333333333333333,0.9573643410852714,6304,17980,464,0.741809592276882,7223,9737,7118,0.24837639169295245,38.51740849400823,615,2.1449350198503674,pass,[],[]
A,A-IND-DET-R3,deterministic_program,INDUSTRIAL,B0,100,3,0.44919618655949156,0.8983923731189831,0.0,0.552112676056338,0.0,0.3852140077821012,97672,109165,3775,0.9315462036434928,95980,103033,10138,1.0,78.32598365710446,4046,0.002167199847761572,not_applicable,[],[]
A,A-IND-FULL-R3,full,INDUSTRIAL,B0,100,3,1.0,1.0,1.0,1.0,1.0,1.0,109067,109067,3775,1.0,110573,110573,2588,0.7177248610676843,91.53174583203052,4046,0.024430737559801245,pass,[],[]
A,A-IND-GEN-R3,generic_tool_agent,INDUSTRIAL,B0,100,3,0.31151042153472286,0.6230208430694457,0.0,0.10538461538461537,0.145985401459854,0.42023346303501946,67685,111406,3775,0.8410200457141037,105601,125563,4652,0.395628812870003,52.20743073980901,4046,0.38702607552718427,fail,"[""GENERIC_ACCESSED_PATH_OUTSIDE_RUN_PACKAGE""]",[]
A,A-POW-GEN-R3,generic_tool_agent,POWER,B0,100,3,0.0,0.0,0.0,0.0,,0.0,0,17974,464,0.0,0,5535,11070,0.3032006695048667,9.096020085146,615,1.4800361261528925,pass,[],[]
A,A-POW-DET-R3,deterministic_program,POWER,B0,100,3,0.4386324894248374,0.8772649788496748,0.0,0.8695652173913044,0.0,0.46511627906976744,15535,18176,464,0.8857808857808858,10260,11583,5378,1.0,76.35446813220031,615,0.013215303455282578,not_applicable,[],[]
A,A-POW-FULL-R3,full,POWER,B0,100,3,1.0,1.0,1.0,1.0,1.0,1.0,17974,17974,464,1.0,12532,12532,4430,0.6770578800592322,90.31173640177697,615,0.1178733090113856,pass,[],[]
A,A-IND-HUM,expert_led,INDUSTRIAL,B0,100,,0.47897594077729794,0.9579518815545959,0.0,0.0,,0.31906614785992216,39634,42602,70240,0.7247879236655105,55792,76977,38720,0.0,42.13173525549829,4046,11.52,not_applicable,[],[]
