方法,源类,扰动,原输入运行,扰动运行,比较项数,一致项数,差异项数,语义保持率,差异字段分布
简单确定性脚本,工业锅炉,S1,B-B0-IND-DET,B-S1-IND-DET,36414,0,36414,0,"{""row_presence"":36414}"
简单确定性脚本,工业锅炉,S2,B-B0-IND-DET,B-S2-IND-DET,36414,0,36414,0,"{""row_presence"":36414}"
简单确定性脚本,工业锅炉,S3,B-B0-IND-DET,B-S3-IND-DET,36414,36414,0,1,{}
简单确定性脚本,工业锅炉,S4,B-B0-IND-DET,B-S4-IND-DET,36414,0,36414,0,"{""row_presence"":36414}"
简单确定性脚本,火电热力,S1,B-B0-POW-DET,B-S1-POW-DET,5535,0,5535,0,"{""row_presence"":5535}"
简单确定性脚本,火电热力,S2,B-B0-POW-DET,B-S2-POW-DET,5535,0,5535,0,"{""row_presence"":5535}"
简单确定性脚本,火电热力,S3,B-B0-POW-DET,B-S3-POW-DET,5535,5535,0,1,{}
简单确定性脚本,火电热力,S4,B-B0-POW-DET,B-S4-POW-DET,5535,0,5535,0,"{""row_presence"":5535}"
Full完整方法,工业锅炉,S1,B-B0-IND-FULL,B-S1-IND-FULL,36414,36414,0,1,{}
Full完整方法,工业锅炉,S2,B-B0-IND-FULL,B-S2-IND-FULL,36414,36414,0,1,{}
Full完整方法,工业锅炉,S3,B-B0-IND-FULL,B-S3-IND-FULL,36414,36414,0,1,{}
Full完整方法,工业锅炉,S4,B-B0-IND-FULL,B-S4-IND-FULL,36414,36414,0,1,{}
Full完整方法,火电热力,S1,B-B0-POW-FULL,B-S1-POW-FULL,5535,5535,0,1,{}
Full完整方法,火电热力,S2,B-B0-POW-FULL,B-S2-POW-FULL,5535,5535,0,1,{}
Full完整方法,火电热力,S3,B-B0-POW-FULL,B-S3-POW-FULL,5535,5535,0,1,{}
Full完整方法,火电热力,S4,B-B0-POW-FULL,B-S4-POW-FULL,5535,5535,0,1,{}
通用工具Agent,工业锅炉,S1,B-B0-IND-GEN,B-S1-IND-GEN,53298,0,53298,0,"{""method"":46665,""parameter"":14689,""standard_reference"":46665,""reason_codes"":46512,""status"":5504,""activity"":5168,""control"":12710,""emission_t"":2842,""generation_t"":651,""row_presence"":6633}"
通用工具Agent,工业锅炉,S2,B-B0-IND-GEN,B-S2-IND-GEN,53298,0,53298,0,"{""method"":46665,""standard_reference"":46665,""reason_codes"":46665,""status"":6218,""parameter"":7275,""generation_t"":7035,""emission_t"":7463,""control"":4375,""row_presence"":6633,""activity"":792}"
通用工具Agent,工业锅炉,S3,B-B0-IND-GEN,B-S3-IND-GEN,47979,0,47979,0,"{""method"":45873,""parameter"":15456,""standard_reference"":45873,""reason_codes"":45873,""status"":5164,""control"":7730,""emission_t"":4280,""generation_t"":1109,""row_presence"":2106,""activity"":72}"
通用工具Agent,工业锅炉,S4,B-B0-IND-GEN,B-S4-IND-GEN,53298,0,53298,0,"{""method"":46512,""activity"":14853,""parameter"":15909,""control"":16278,""standard_reference"":46665,""reason_codes"":46665,""status"":5964,""generation_t"":1688,""emission_t"":2232,""row_presence"":6633}"
通用工具Agent,火电热力,S1,B-B0-POW-GEN,B-S1-POW-GEN,53298,0,53298,0,"{""row_presence"":46665,""method"":6633,""standard_reference"":6605,""reason_codes"":6633,""status"":997,""parameter"":1005,""control"":3537,""emission_t"":1174,""generation_t"":897,""activity"":81}"
通用工具Agent,火电热力,S2,B-B0-POW-GEN,B-S2-POW-GEN,53298,0,53298,0,"{""row_presence"":46665,""method"":6633,""activity"":4162,""parameter"":4691,""control"":4433,""standard_reference"":4663,""reason_codes"":6490,""status"":3221,""generation_t"":1351,""emission_t"":1425}"
通用工具Agent,火电热力,S3,B-B0-POW-GEN,B-S3-POW-GEN,7344,0,7344,0,"{""status"":1110,""method"":6633,""parameter"":1498,""control"":4010,""standard_reference"":6633,""reason_codes"":6633,""generation_t"":1856,""emission_t"":2092,""row_presence"":711}"
通用工具Agent,火电热力,S4,B-B0-POW-GEN,B-S4-POW-GEN,53298,0,53298,0,"{""row_presence"":46665,""status"":2322,""method"":6633,""parameter"":2618,""control"":4382,""standard_reference"":5799,""reason_codes"":6633,""generation_t"":1603,""emission_t"":1655,""activity"":1827}"
