方法,类别,真实对象数,预测对象数,正确识别数,误报数,漏报数,精确率,召回率,F1
简单确定性脚本,活动水平缺失,6,0,0,0,6,0,0,0
简单确定性脚本,污染物参数缺失,6,0,0,0,6,0,0,0
简单确定性脚本,源关系缺失,4,0,0,0,4,0,0,0
简单确定性脚本,硬约束冲突,4,0,0,0,4,0,0,0
简单确定性脚本,正常对照,6,10,6,4,0,0.6,1,0.7499999999999999
Full完整方法,活动水平缺失,6,0,0,0,6,0,0,0
Full完整方法,污染物参数缺失,6,0,0,0,6,0,0,0
Full完整方法,源关系缺失,4,4,4,0,0,1,1,1
Full完整方法,硬约束冲突,4,0,0,0,4,0,0,0
Full完整方法,正常对照,6,6,6,0,0,1,1,1
通用工具Agent,活动水平缺失,6,3,3,0,3,1,0.5,0.6666666666666666
通用工具Agent,污染物参数缺失,6,0,0,0,6,0,0,0
通用工具Agent,源关系缺失,4,0,0,0,4,0,0,0
通用工具Agent,硬约束冲突,4,0,0,0,4,0,0,0
通用工具Agent,正常对照,6,0,0,0,6,0,0,0
