方法,源类,规模(%),运行次数,单条耗时中位数(s/条),单条耗时最小值(s/条),单条耗时最大值(s/条),总耗时中位数(s),总耗时最小值(s),总耗时最大值(s),峰值内存中位数(bytes)
简单确定性脚本,工业锅炉,25,3,0.001014026955685797,0.0009993178421733404,0.0010230692386621687,1.028223333065398,1.0133082919637673,1.037392208003439,64880640
简单确定性脚本,工业锅炉,50,3,0.0009048385981737883,0.0009021785745233102,0.0009093370760017813,1.8332029999000952,1.8278137919842266,1.842316915979609,95764480
简单确定性脚本,工业锅炉,75,3,0.0008619290551642676,0.0008178280340261489,0.0008792826230660805,2.609059249982238,2.4755654589971527,2.6615885000210255,124665856
简单确定性脚本,工业锅炉,100,3,0.0021242766104723975,0.0021191385422545074,0.0021610661146580414,8.59482316597132,8.574034541961737,8.743673499906436,167641088
简单确定性脚本,火电热力,25,3,0.0062908270139375635,0.00617232557249673,0.006304888792560789,0.9121699170209467,0.8949872080120258,0.9142088749213144,50462720
简单确定性脚本,火电热力,50,3,0.0048627571689264315,0.004804826162410779,0.005245729707870874,1.497729208029341,1.47988645802252,1.6156847500242293,64569344
简单确定性脚本,火电热力,75,3,0.004326801506574563,0.0043222537233266346,0.005320940512737775,2.0335967080900446,2.0314592499635182,2.500842040986754,76038144
简单确定性脚本,火电热力,100,3,0.01299827411871146,0.012745125066655559,0.013267790582182446,7.993938583007548,7.838251915993169,8.159691208042204,154877952
Full完整方法,工业锅炉,25,3,0.05937508308677475,0.05778533822286937,0.06935505777415112,60.206334249989595,58.594332957989536,70.32602858298924,334921728
Full完整方法,工业锅炉,50,3,0.037171734307991686,0.03097958833068611,0.03739868922749542,75.30993370799115,62.76464595797006,75.76974437490571,481476608
Full完整方法,工业锅炉,75,3,0.025974054330329805,0.025152501348866967,0.02883422346119555,78.62346245790832,76.13662158302031,87.28119441703893,608616448
Full完整方法,工业锅炉,100,3,0.025143181187092883,0.022750444904342547,0.02609318009566988,101.7293110829778,92.04830008296994,105.57300666708034,745226240
Full完整方法,火电热力,25,3,0.4155156520139105,0.4059514451169826,0.4259268497108835,60.24976954201702,58.86295954196248,61.75939320807811,224641024
Full完整方法,火电热力,50,3,0.18730223769161022,0.17926586810053424,0.22261071225625234,57.68908920901595,55.21388737496454,68.56409937492572,253263872
Full完整方法,火电热力,75,3,0.13463294175540177,0.1305961562957159,0.13531526648934852,63.27748262503883,61.38019345898647,63.5981752499938,281493504
Full完整方法,火电热力,100,3,0.12667666206011413,0.0959635260846178,0.13691221632847062,77.90614716697019,59.01756854203995,84.20101304200944,308215808
通用工具Agent,工业锅炉,25,3,1.1739286656805572,0.9106744299388442,1.3226159164615787,1190.3636670000851,923.423871957988,1341.1325392920407,651001856
通用工具Agent,工业锅炉,50,3,0.577984468184567,0.5285520504481828,0.5856761545123454,1170.9965325419325,1070.8464542080183,1186.579889042012,727826432
通用工具Agent,工业锅炉,75,3,0.4749234701988838,0.37618144553188626,0.9134092658160049,1437.5933442920214,1138.7012356250198,2764.889847625047,777863168
通用工具Agent,工业锅炉,100,3,0.28216062670958747,0.2518925464861588,0.3583682344187013,1141.621895666991,1019.1572430829983,1449.9578764580656,775946240
通用工具Agent,火电热力,25,3,8.005956987358614,6.478143514082607,8.124091529882321,1160.863763166999,939.3308095419779,1177.9932718329364,644366336
通用工具Agent,火电热力,50,3,3.881932924243443,3.7697238664773245,4.18111064028586,1195.6353406669805,1161.074950875016,1287.782077208045,622182400
通用工具Agent,火电热力,75,3,2.430110282004325,2.2918169250000924,2.7523146593083747,1142.151832542033,1077.1539547500433,1293.587889874936,639942656
通用工具Agent,火电热力,100,3,2.304340374186953,1.7894174572489248,2.557852600000011,1417.169330124976,1100.4917362080887,1573.079349000007,741769216
