方法,源类,D常规,D异常,D,N,D相对Full变化,N相对Full变化,过程记录覆盖率,单条耗时(s/条)
去除完整过程记录,工业锅炉,1,1,1,1,0,0,0,0.029076759525957077
Agent管理核算准入,工业锅炉,0.9974016263202169,0.41785714285714287,0.7076293845886799,0.9725158944769519,-0.29237061541132014,-0.02748410552304814,1,0.04680939494760282
去除可执行规则门控,工业锅炉,0.6039536405271521,0.5318352059925093,0.5678944232598306,0.4268220994275275,-0.43210557674016936,-0.5731779005724724,1,0.09465210988210815
Full完整方法,工业锅炉,1,1,1,1,0,0,1,0.0234309236488079
去除污染物核算项结构,工业锅炉,0.6715954762127302,1,0.835797738106365,0.6784748537165493,-0.16420226189363496,-0.32152514628345075,1,0.02475319130006543
去除可执行规则门控,火电热力,0.6851442641580908,0.15282392026578073,0.4189840922119358,0.6407596552824769,-0.5810159077880642,-0.3592403447175231,1,0.43243856212839754
去除完整过程记录,火电热力,1,1,1,1,0,0,0,0.1456973117887898
去除污染物核算项结构,火电热力,0.7903908075004735,0.9883720930232558,0.8893814502618647,0.7160868177465688,-0.11061854973813534,-0.2839131822534312,1,0.13118205365849794
Agent管理核算准入,火电热力,0.8166550918618599,0.18867924528301888,0.5026671685724394,0.3795084583466326,-0.4973328314275606,-0.6204915416533674,1,0.22824199396920034
Full完整方法,火电热力,1,1,1,1,0,0,1,0.10495313211378256
