plan_class,target,root_cause,source_id,source_tag,source_row,existing_issue_reason,injection_validity,expected_affected_pollutants,observed_reference_changed_pollutants,changed_item_count,baseline_statuses,b2_statuses,scoring_eligible,exclusion_reason,diagnostic_denominator,note
preexisting_problem,INDUSTRIAL,PREEXISTING_INPUT_PROBLEM,SRC-RAW-047B5DC7001BE36DF321,B102-2002,5024,combustion_technology_missing_before_injection,preexisting_problem,[],[],0,"{""BC"":""information_insufficient"",""CO"":""information_insufficient"",""NH3"":""calculated"",""NOx"":""information_insufficient"",""OC"":""information_insufficient"",""PM10"":""information_insufficient"",""PM2.5"":""information_insufficient"",""SO2"":""information_insufficient"",""VOC"":""information_insufficient""}","{""BC"":""information_insufficient"",""CO"":""information_insufficient"",""NH3"":""calculated"",""NOx"":""information_insufficient"",""OC"":""information_insufficient"",""PM10"":""information_insufficient"",""PM2.5"":""information_insufficient"",""SO2"":""information_insufficient"",""VOC"":""information_insufficient""}",false,preexisting_problem_not_in_targeted_denominator,eligible_targeted_injections_only,combustion_technology_missing_before_injection
preexisting_problem,INDUSTRIAL,PREEXISTING_INPUT_PROBLEM,SRC-RAW-DFA7F16BC490271E3139,B102-2002,2226,combustion_technology_missing_before_injection,preexisting_problem,[],[],0,"{""BC"":""calculated"",""CO"":""calculated"",""NH3"":""calculated"",""NOx"":""calculated"",""OC"":""calculated"",""PM10"":""calculated"",""PM2.5"":""calculated"",""SO2"":""calculated"",""VOC"":""calculated""}","{""BC"":""calculated"",""CO"":""calculated"",""NH3"":""calculated"",""NOx"":""calculated"",""OC"":""calculated"",""PM10"":""calculated"",""PM2.5"":""calculated"",""SO2"":""calculated"",""VOC"":""calculated""}",false,preexisting_problem_not_in_targeted_denominator,eligible_targeted_injections_only,combustion_technology_missing_before_injection
preexisting_problem,POWER,PREEXISTING_INPUT_PROBLEM,SRC-RAW-A5FDC89121714361A757,B102-2002,2245,combustion_technology_missing_before_injection,preexisting_problem,[],[],0,"{""BC"":""calculated"",""CO"":""calculated"",""NH3"":""calculated"",""NOx"":""calculated"",""OC"":""calculated"",""PM10"":""calculated"",""PM2.5"":""calculated"",""SO2"":""calculated"",""VOC"":""calculated""}","{""BC"":""calculated"",""CO"":""calculated"",""NH3"":""calculated"",""NOx"":""calculated"",""OC"":""calculated"",""PM10"":""calculated"",""PM2.5"":""calculated"",""SO2"":""calculated"",""VOC"":""calculated""}",false,preexisting_problem_not_in_targeted_denominator,eligible_targeted_injections_only,combustion_technology_missing_before_injection
preexisting_problem,POWER,PREEXISTING_INPUT_PROBLEM,SRC-RAW-6E050DFAE5706F68F59C,B102-2002,1628,combustion_technology_missing_before_injection,preexisting_problem,[],[],0,"{""BC"":""calculated"",""CO"":""calculated"",""NH3"":""information_insufficient"",""NOx"":""calculated"",""OC"":""calculated"",""PM10"":""calculated"",""PM2.5"":""calculated"",""SO2"":""calculated"",""VOC"":""calculated""}","{""BC"":""calculated"",""CO"":""calculated"",""NH3"":""information_insufficient"",""NOx"":""calculated"",""OC"":""calculated"",""PM10"":""calculated"",""PM2.5"":""calculated"",""SO2"":""calculated"",""VOC"":""calculated""}",false,preexisting_problem_not_in_targeted_denominator,eligible_targeted_injections_only,combustion_technology_missing_before_injection
positive_injection,INDUSTRIAL,ACTIVITY_MISSING,SRC-RAW-9AAF620407C54396A867,B102-2002,2446,,valid,"[""BC"",""CO"",""NOx"",""OC"",""PM10"",""PM2.5"",""SO2"",""VOC""]","[""SO2"",""NOx"",""CO"",""VOC"",""PM10"",""PM2.5"",""BC"",""OC""]",8,"{""BC"":""calculated"",""CO"":""calculated"",""NH3"":""calculated"",""NOx"":""calculated"",""OC"":""calculated"",""PM10"":""calculated"",""PM2.5"":""calculated"",""SO2"":""calculated"",""VOC"":""calculated""}","{""BC"":""information_insufficient"",""CO"":""information_insufficient"",""NH3"":""calculated"",""NOx"":""information_insufficient"",""OC"":""information_insufficient"",""PM10"":""information_insufficient"",""PM2.5"":""information_insufficient"",""SO2"":""information_insufficient"",""VOC"":""information_insufficient""}",true,,eligible_targeted_injections_only,
positive_injection,INDUSTRIAL,ACTIVITY_MISSING,SRC-RAW-42923CF3A707087450FB,B102-2002,3169,,valid,"[""BC"",""CO"",""NOx"",""OC"",""PM10"",""PM2.5"",""SO2"",""VOC""]","[""SO2"",""NOx"",""CO"",""VOC"",""PM10"",""PM2.5"",""BC"",""OC""]",8,"{""BC"":""calculated"",""CO"":""calculated"",""NH3"":""calculated"",""NOx"":""calculated"",""OC"":""calculated"",""PM10"":""calculated"",""PM2.5"":""calculated"",""SO2"":""calculated"",""VOC"":""calculated""}","{""BC"":""information_insufficient"",""CO"":""information_insufficient"",""NH3"":""calculated"",""NOx"":""information_insufficient"",""OC"":""information_insufficient"",""PM10"":""information_insufficient"",""PM2.5"":""information_insufficient"",""SO2"":""information_insufficient"",""VOC"":""information_insufficient""}",true,,eligible_targeted_injections_only,
positive_injection,INDUSTRIAL,ACTIVITY_MISSING,SRC-RAW-5810F198DFBC21BBAF58,B102-2002,5239,,valid,"[""BC"",""CO"",""NOx"",""OC"",""PM10"",""PM2.5"",""SO2"",""VOC""]","[""SO2"",""NOx"",""CO"",""VOC"",""PM10"",""PM2.5"",""BC"",""OC""]",8,"{""BC"":""calculated"",""CO"":""calculated"",""NH3"":""calculated"",""NOx"":""calculated"",""OC"":""calculated"",""PM10"":""calculated"",""PM2.5"":""calculated"",""SO2"":""calculated"",""VOC"":""calculated""}","{""BC"":""information_insufficient"",""CO"":""information_insufficient"",""NH3"":""calculated"",""NOx"":""information_insufficient"",""OC"":""information_insufficient"",""PM10"":""information_insufficient"",""PM2.5"":""information_insufficient"",""SO2"":""information_insufficient"",""VOC"":""information_insufficient""}",true,,eligible_targeted_injections_only,
positive_injection,INDUSTRIAL,POLLUTANT_PARAMETER_MISSING,SRC-RAW-D8333CABBDCF22B6AB37,B102-2002,3194,,valid,"[""BC"",""OC"",""PM10"",""PM2.5"",""SO2""]","[""SO2"",""PM10"",""PM2.5"",""BC"",""OC""]",5,"{""BC"":""calculated"",""CO"":""calculated"",""NH3"":""calculated"",""NOx"":""calculated"",""OC"":""calculated"",""PM10"":""calculated"",""PM2.5"":""calculated"",""SO2"":""calculated"",""VOC"":""calculated""}","{""BC"":""information_insufficient"",""CO"":""calculated"",""NH3"":""calculated"",""NOx"":""calculated"",""OC"":""information_insufficient"",""PM10"":""information_insufficient"",""PM2.5"":""information_insufficient"",""SO2"":""information_insufficient"",""VOC"":""calculated""}",true,,eligible_targeted_injections_only,
positive_injection,INDUSTRIAL,POLLUTANT_PARAMETER_MISSING,SRC-RAW-48EC88DCAB198382370E,B102-2002,4412,,valid,"[""BC"",""OC"",""PM10"",""PM2.5"",""SO2""]","[""SO2"",""PM10"",""PM2.5"",""BC"",""OC""]",5,"{""BC"":""calculated"",""CO"":""calculated"",""NH3"":""calculated"",""NOx"":""calculated"",""OC"":""calculated"",""PM10"":""calculated"",""PM2.5"":""calculated"",""SO2"":""calculated"",""VOC"":""calculated""}","{""BC"":""information_insufficient"",""CO"":""calculated"",""NH3"":""calculated"",""NOx"":""calculated"",""OC"":""information_insufficient"",""PM10"":""information_insufficient"",""PM2.5"":""information_insufficient"",""SO2"":""information_insufficient"",""VOC"":""calculated""}",true,,eligible_targeted_injections_only,
positive_injection,INDUSTRIAL,POLLUTANT_PARAMETER_MISSING,SRC-RAW-FF1045ABC23B668A936E,B102-2002,235,,valid,"[""BC"",""OC"",""PM10"",""PM2.5"",""SO2""]","[""SO2"",""PM10"",""PM2.5"",""BC"",""OC""]",5,"{""BC"":""calculated"",""CO"":""calculated"",""NH3"":""calculated"",""NOx"":""calculated"",""OC"":""calculated"",""PM10"":""calculated"",""PM2.5"":""calculated"",""SO2"":""calculated"",""VOC"":""calculated""}","{""BC"":""information_insufficient"",""CO"":""calculated"",""NH3"":""calculated"",""NOx"":""calculated"",""OC"":""information_insufficient"",""PM10"":""information_insufficient"",""PM2.5"":""information_insufficient"",""SO2"":""information_insufficient"",""VOC"":""calculated""}",true,,eligible_targeted_injections_only,
