parameter_id,control_technology,pollutant,efficiency_percent,particle_fraction,source_section,physical_pdf_page
A1-01-SO2,烟气循环流化床法,SO2,50,,附录A 表A.1,33
A1-01-NOX,烟气循环流化床法,NOX,0,,附录A 表A.1,33
A1-01-VOCS,烟气循环流化床法,VOCS,0,,附录A 表A.1,33
A1-01-PM25,烟气循环流化床法,PM25,0,,附录A 表A.1,33
A1-01-PM25_10,烟气循环流化床法,PM25_10,0,,附录A 表A.1,33
A1-01-BC,烟气循环流化床法,BC,0,,附录A 表A.1,33
A1-01-OC,烟气循环流化床法,OC,0,,附录A 表A.1,33
A1-02-SO2,炉内喷钙法,SO2,50,,附录A 表A.1,33
A1-02-NOX,炉内喷钙法,NOX,0,,附录A 表A.1,33
A1-02-VOCS,炉内喷钙法,VOCS,0,,附录A 表A.1,33
A1-02-PM25,炉内喷钙法,PM25,0,,附录A 表A.1,33
A1-02-PM25_10,炉内喷钙法,PM25_10,0,,附录A 表A.1,33
A1-02-BC,炉内喷钙法,BC,0,,附录A 表A.1,33
A1-02-OC,炉内喷钙法,OC,0,,附录A 表A.1,33
A1-03-SO2,石灰石/石膏法,SO2,80,,附录A 表A.1,33
A1-03-NOX,石灰石/石膏法,NOX,0,,附录A 表A.1,33
A1-03-VOCS,石灰石/石膏法,VOCS,0,,附录A 表A.1,33
A1-03-PM25,石灰石/石膏法,PM25,57,,附录A 表A.1,33
A1-03-PM25_10,石灰石/石膏法,PM25_10,75,,附录A 表A.1,33
A1-03-BC,石灰石/石膏法,BC,57,,附录A 表A.1,33
A1-03-OC,石灰石/石膏法,OC,57,,附录A 表A.1,33
A1-04-SO2,双碱法,SO2,80,,附录A 表A.1,33
A1-04-NOX,双碱法,NOX,0,,附录A 表A.1,33
A1-04-VOCS,双碱法,VOCS,0,,附录A 表A.1,33
A1-04-PM25,双碱法,PM25,57,,附录A 表A.1,33
A1-04-PM25_10,双碱法,PM25_10,75,,附录A 表A.1,33
A1-04-BC,双碱法,BC,57,,附录A 表A.1,33
A1-04-OC,双碱法,OC,57,,附录A 表A.1,33
A1-05-SO2,海水法,SO2,80,,附录A 表A.1,33
A1-05-NOX,海水法,NOX,0,,附录A 表A.1,33
A1-05-VOCS,海水法,VOCS,0,,附录A 表A.1,33
A1-05-PM25,海水法,PM25,57,,附录A 表A.1,33
A1-05-PM25_10,海水法,PM25_10,75,,附录A 表A.1,33
A1-05-BC,海水法,BC,57,,附录A 表A.1,33
A1-05-OC,海水法,OC,57,,附录A 表A.1,33
A1-06-SO2,氧化镁法,SO2,80,,附录A 表A.1,33
A1-06-NOX,氧化镁法,NOX,0,,附录A 表A.1,33
A1-06-VOCS,氧化镁法,VOCS,0,,附录A 表A.1,33
A1-06-PM25,氧化镁法,PM25,57,,附录A 表A.1,33
A1-06-PM25_10,氧化镁法,PM25_10,75,,附录A 表A.1,33
A1-06-BC,氧化镁法,BC,57,,附录A 表A.1,33
A1-06-OC,氧化镁法,OC,57,,附录A 表A.1,33
A1-07-SO2,氨法,SO2,80,,附录A 表A.1,33
A1-07-NOX,氨法,NOX,0,,附录A 表A.1,33
A1-07-VOCS,氨法,VOCS,0,,附录A 表A.1,33
A1-07-PM25,氨法,PM25,57,,附录A 表A.1,33
A1-07-PM25_10,氨法,PM25_10,75,,附录A 表A.1,33
A1-07-BC,氨法,BC,57,,附录A 表A.1,33
A1-07-OC,氨法,OC,57,,附录A 表A.1,33
A1-08-SO2,密相干法,SO2,50,,附录A 表A.1,33
A1-08-NOX,密相干法,NOX,0,,附录A 表A.1,33
A1-08-VOCS,密相干法,VOCS,0,,附录A 表A.1,33
A1-08-PM25,密相干法,PM25,0,,附录A 表A.1,33
A1-08-PM25_10,密相干法,PM25_10,0,,附录A 表A.1,33
A1-08-BC,密相干法,BC,0,,附录A 表A.1,33
A1-08-OC,密相干法,OC,0,,附录A 表A.1,33
A1-09-SO2,旋转喷雾干燥法,SO2,50,,附录A 表A.1,33
A1-09-NOX,旋转喷雾干燥法,NOX,0,,附录A 表A.1,33
A1-09-VOCS,旋转喷雾干燥法,VOCS,0,,附录A 表A.1,33
A1-09-PM25,旋转喷雾干燥法,PM25,0,,附录A 表A.1,33
A1-09-PM25_10,旋转喷雾干燥法,PM25_10,0,,附录A 表A.1,33
A1-09-BC,旋转喷雾干燥法,BC,0,,附录A 表A.1,33
A1-09-OC,旋转喷雾干燥法,OC,0,,附录A 表A.1,33
A1-10-SO2,其他脱硫技术,SO2,40,,附录A 表A.1,33
A1-10-NOX,其他脱硫技术,NOX,0,,附录A 表A.1,33
A1-10-VOCS,其他脱硫技术,VOCS,0,,附录A 表A.1,33
A1-10-PM25,其他脱硫技术,PM25,0,,附录A 表A.1,33
A1-10-PM25_10,其他脱硫技术,PM25_10,0,,附录A 表A.1,33
A1-10-BC,其他脱硫技术,BC,0,,附录A 表A.1,33
A1-10-OC,其他脱硫技术,OC,0,,附录A 表A.1,33
A1-11-SO2,低氮燃烧技术,SO2,0,,附录A 表A.1,33
A1-11-NOX,低氮燃烧技术,NOX,22,,附录A 表A.1,33
A1-11-VOCS,低氮燃烧技术,VOCS,0,,附录A 表A.1,33
A1-11-PM25,低氮燃烧技术,PM25,0,,附录A 表A.1,33
A1-11-PM25_10,低氮燃烧技术,PM25_10,0,,附录A 表A.1,33
A1-11-BC,低氮燃烧技术,BC,0,,附录A 表A.1,33
A1-11-OC,低氮燃烧技术,OC,0,,附录A 表A.1,33
A1-12-SO2,选择性非催化还原法,SO2,0,,附录A 表A.1,33
A1-12-NOX,选择性非催化还原法,NOX,30,,附录A 表A.1,33
A1-12-VOCS,选择性非催化还原法,VOCS,0,,附录A 表A.1,33
A1-12-PM25,选择性非催化还原法,PM25,57,,附录A 表A.1,33
A1-12-PM25_10,选择性非催化还原法,PM25_10,75,,附录A 表A.1,33
A1-12-BC,选择性非催化还原法,BC,57,,附录A 表A.1,33
A1-12-OC,选择性非催化还原法,OC,57,,附录A 表A.1,33
A1-13-SO2,选择性催化还原法,SO2,0,,附录A 表A.1,33
A1-13-NOX,选择性催化还原法,NOX,42,,附录A 表A.1,33
A1-13-VOCS,选择性催化还原法,VOCS,0,,附录A 表A.1,33
A1-13-PM25,选择性催化还原法,PM25,57,,附录A 表A.1,33
A1-13-PM25_10,选择性催化还原法,PM25_10,75,,附录A 表A.1,33
A1-13-BC,选择性催化还原法,BC,57,,附录A 表A.1,33
A1-13-OC,选择性催化还原法,OC,57,,附录A 表A.1,33
A1-14-SO2,低氮燃烧技术+选择性非催化还原法,SO2,0,,附录A 表A.1,33
A1-14-NOX,低氮燃烧技术+选择性非催化还原法,NOX,52,,附录A 表A.1,33
A1-14-VOCS,低氮燃烧技术+选择性非催化还原法,VOCS,0,,附录A 表A.1,33
A1-14-PM25,低氮燃烧技术+选择性非催化还原法,PM25,0,,附录A 表A.1,33
A1-14-PM25_10,低氮燃烧技术+选择性非催化还原法,PM25_10,0,,附录A 表A.1,33
A1-14-BC,低氮燃烧技术+选择性非催化还原法,BC,0,,附录A 表A.1,33
A1-14-OC,低氮燃烧技术+选择性非催化还原法,OC,0,,附录A 表A.1,33
A1-15-SO2,低氮燃烧技术+选择性催化还原法,SO2,0,,附录A 表A.1,33
A1-15-NOX,低氮燃烧技术+选择性催化还原法,NOX,64,,附录A 表A.1,33
