输入条件,源类,原因类别,需要人工判断,涉及源数
B0,工业锅炉,authorized_missing_control_zero,false,1592
B0,工业锅炉,authorized_missing_denitrification_zero_nh3,false,3692
B0,工业锅炉,authorized_no_applicable_control_zero,false,2340
B0,火电热力,authorized_missing_denitrification_zero_nh3,false,367
B0,火电热力,authorized_no_applicable_control_zero,false,368
B0,火电热力,fuel_outside_fixed_combustion_scope,false,57
B0,火电热力,ammonia_slip_calculated,false,97
B0,火电热力,authorized_multiple_control_maximum,false,151
B0,工业锅炉,authorized_multiple_control_maximum,false,215
B0,工业锅炉,nh3_not_applicable_no_scr_sncr,false,203
B0,工业锅炉,ammonia_slip_calculated,false,83
B0,火电热力,nh3_not_applicable_no_scr_sncr,false,20
B0,工业锅炉,other_fuel_tce_unresolved,true,30
B0,火电热力,ammonia_slip_activity_missing,true,99
B0,工业锅炉,coordinate_plausibility_review,true,100
B0,火电热力,fuel_mapping_unresolved,true,168
B0,工业锅炉,combustion_technology_unresolved,true,65
B0,火电热力,coordinate_plausibility_review,true,8
B0,工业锅炉,fuel_outside_fixed_combustion_scope,false,20
B0,火电热力,ammonia_slip_process_allocation_unresolved,true,30
B0,火电热力,authorized_unmapped_control_zero,false,4
B0,火电热力,authorized_missing_control_zero,false,38
B0,火电热力,other_fuel_tce_unresolved,true,31
B0,火电热力,source_relationship_missing,true,2
B0,工业锅炉,ammonia_slip_activity_missing,true,42
B0,工业锅炉,control_information_conflict,true,12
B0,工业锅炉,potential_duplicate_fuel_slot,true,11
B0,工业锅炉,ammonia_slip_process_allocation_unresolved,true,3
B0,工业锅炉,factor_applicability_unresolved,true,2
B0,火电热力,combustion_technology_unresolved,true,3
B0,工业锅炉,coal_parameter_missing,true,1
B2,工业锅炉,authorized_missing_control_zero,false,1590
B2,工业锅炉,authorized_missing_denitrification_zero_nh3,false,3691
B2,工业锅炉,authorized_no_applicable_control_zero,false,2337
B2,火电热力,authorized_missing_denitrification_zero_nh3,false,366
B2,火电热力,authorized_no_applicable_control_zero,false,364
B2,火电热力,fuel_outside_fixed_combustion_scope,false,57
B2,火电热力,ammonia_slip_calculated,false,95
B2,火电热力,authorized_multiple_control_maximum,false,149
B2,工业锅炉,authorized_multiple_control_maximum,false,215
B2,工业锅炉,nh3_not_applicable_no_scr_sncr,false,202
B2,工业锅炉,ammonia_slip_calculated,false,83
B2,火电热力,nh3_not_applicable_no_scr_sncr,false,20
B2,工业锅炉,other_fuel_tce_unresolved,true,30
B2,火电热力,ammonia_slip_activity_missing,true,100
B2,工业锅炉,coordinate_plausibility_review,true,100
B2,火电热力,fuel_mapping_unresolved,true,168
B2,工业锅炉,combustion_technology_unresolved,true,65
B2,火电热力,coordinate_plausibility_review,true,8
B2,工业锅炉,fuel_outside_fixed_combustion_scope,false,20
B2,火电热力,ammonia_slip_process_allocation_unresolved,true,30
B2,火电热力,authorized_unmapped_control_zero,false,4
B2,火电热力,authorized_missing_control_zero,false,37
B2,火电热力,other_fuel_tce_unresolved,true,31
B2,火电热力,source_relationship_missing,true,4
B2,工业锅炉,ash_parameter_invalid,true,2
B2,工业锅炉,ammonia_slip_activity_missing,true,42
B2,工业锅炉,control_information_conflict,true,12
B2,工业锅炉,source_relationship_missing,true,2
B2,工业锅炉,potential_duplicate_fuel_slot,true,11
B2,工业锅炉,ammonia_slip_process_allocation_unresolved,true,3
B2,工业锅炉,factor_applicability_unresolved,true,2
B2,火电热力,ash_parameter_missing,true,3
B2,火电热力,sulfur_parameter_missing,true,3
B2,火电热力,combustion_technology_unresolved,true,3
B2,火电热力,activity_level_missing,true,3
B2,工业锅炉,activity_level_missing,true,3
B2,工业锅炉,ash_parameter_missing,true,3
B2,工业锅炉,sulfur_parameter_missing,true,3
B2,火电热力,ash_parameter_invalid,true,2
B2,工业锅炉,coal_parameter_missing,true,1
