variant,target,pollutant,expected_status,item_count,generation_sum_t,emission_sum_t,empirical_assumption_item_count
B0,INDUSTRIAL,BC,calculated,3919,605.635131784024,521.867961015797,1803
B0,INDUSTRIAL,BC,information_insufficient,109,0,0,3
B0,INDUSTRIAL,BC,not_involved,18,0,0,0
B0,INDUSTRIAL,CO,calculated,3920,43978.1702968,43978.1702968,1591
B0,INDUSTRIAL,CO,information_insufficient,108,0,0,1
B0,INDUSTRIAL,CO,not_involved,18,0,0,0
B0,INDUSTRIAL,NH3,calculated,3775,228.45186375,228.45186375,3692
B0,INDUSTRIAL,NH3,information_insufficient,56,0,0,0
B0,INDUSTRIAL,NH3,not_involved,203,0,0,0
B0,INDUSTRIAL,NH3,source_data_invalid,12,0,0,0
B0,INDUSTRIAL,NOx,calculated,3910,92062.74610907,73045.3993957756,1724
B0,INDUSTRIAL,NOx,information_insufficient,106,0,0,1
B0,INDUSTRIAL,NOx,not_involved,18,0,0,0
B0,INDUSTRIAL,NOx,source_data_invalid,12,0,0,0
B0,INDUSTRIAL,OC,calculated,3919,33.112639192196,24.6832642315999,1803
B0,INDUSTRIAL,OC,information_insufficient,109,0,0,3
B0,INDUSTRIAL,OC,not_involved,18,0,0,0
B0,INDUSTRIAL,PM10,calculated,3919,249865.911066653,228406.052273284,1803
B0,INDUSTRIAL,PM10,information_insufficient,109,0,0,3
B0,INDUSTRIAL,PM10,not_involved,18,0,0,0
B0,INDUSTRIAL,PM2.5,calculated,3919,84641.0689848055,77300.4346503871,1803
B0,INDUSTRIAL,PM2.5,information_insufficient,109,0,0,3
B0,INDUSTRIAL,PM2.5,not_involved,18,0,0,0
B0,INDUSTRIAL,SO2,calculated,3919,111027.40992509,105061.564316218,1803
B0,INDUSTRIAL,SO2,information_insufficient,109,0,0,3
B0,INDUSTRIAL,SO2,not_involved,18,0,0,0
B0,INDUSTRIAL,VOC,calculated,3920,53156.7130357,53156.7130357,1786
B0,INDUSTRIAL,VOC,information_insufficient,108,0,0,3
B0,INDUSTRIAL,VOC,not_involved,18,0,0,0
B0,POWER,BC,calculated,357,2051.73012564623,952.041390694359,167
B0,POWER,BC,information_insufficient,200,0,0,26
B0,POWER,BC,not_involved,56,0,0,0
B0,POWER,BC,source_data_invalid,2,0,0,0
B0,POWER,CO,calculated,357,315444.65878336,315444.65878336,28
B0,POWER,CO,information_insufficient,200,0,0,14
B0,POWER,CO,not_involved,56,0,0,0
B0,POWER,CO,source_data_invalid,2,0,0,0
B0,POWER,NH3,calculated,464,13168.1409456,13168.1409456,367
B0,POWER,NH3,information_insufficient,129,0,0,0
B0,POWER,NH3,not_involved,20,0,0,0
B0,POWER,NH3,source_data_invalid,2,0,0,0
B0,POWER,NOx,calculated,357,1137394.92186229,630287.431183743,44
B0,POWER,NOx,information_insufficient,200,0,0,22
B0,POWER,NOx,not_involved,56,0,0,0
B0,POWER,NOx,source_data_invalid,2,0,0,0
B0,POWER,OC,calculated,357,10.23380977,8.4726855961,167
B0,POWER,OC,information_insufficient,200,0,0,26
B0,POWER,OC,not_involved,56,0,0,0
B0,POWER,OC,source_data_invalid,2,0,0,0
B0,POWER,PM10,calculated,357,3957494.18432908,1795889.80294828,167
B0,POWER,PM10,information_insufficient,200,0,0,26
B0,POWER,PM10,not_involved,56,0,0,0
B0,POWER,PM10,source_data_invalid,2,0,0,0
B0,POWER,PM2.5,calculated,357,1021567.16020061,474712.221474198,167
B0,POWER,PM2.5,information_insufficient,200,0,0,26
B0,POWER,PM2.5,not_involved,56,0,0,0
B0,POWER,PM2.5,source_data_invalid,2,0,0,0
B0,POWER,SO2,calculated,357,1588037.67436292,889333.791799791,167
B0,POWER,SO2,information_insufficient,200,0,0,26
B0,POWER,SO2,not_involved,56,0,0,0
B0,POWER,SO2,source_data_invalid,2,0,0,0
B0,POWER,VOC,calculated,357,16645.38501943,16645.38501943,167
B0,POWER,VOC,information_insufficient,200,0,0,26
B0,POWER,VOC,not_involved,56,0,0,0
B0,POWER,VOC,source_data_invalid,2,0,0,0
B2,INDUSTRIAL,BC,calculated,3909,592.454088766298,509.230833678072,1799
B2,INDUSTRIAL,BC,information_insufficient,115,0,0,4
B2,INDUSTRIAL,BC,not_involved,18,0,0,0
B2,INDUSTRIAL,BC,source_data_invalid,4,0,0,0
B2,INDUSTRIAL,CO,calculated,3915,43976.2912168,43976.2912168,1589
B2,INDUSTRIAL,CO,information_insufficient,111,0,0,1
B2,INDUSTRIAL,CO,not_involved,18,0,0,0
B2,INDUSTRIAL,CO,source_data_invalid,2,0,0,0
B2,INDUSTRIAL,NH3,calculated,3774,228.45186375,228.45186375,3691
B2,INDUSTRIAL,NH3,information_insufficient,56,0,0,0
B2,INDUSTRIAL,NH3,not_involved,202,0,0,0
B2,INDUSTRIAL,NH3,source_data_invalid,14,0,0,0
B2,INDUSTRIAL,NOx,calculated,3905,92058.65532107,73041.9072673756,1722
B2,INDUSTRIAL,NOx,information_insufficient,109,0,0,1
B2,INDUSTRIAL,NOx,not_involved,18,0,0,0
B2,INDUSTRIAL,NOx,source_data_invalid,14,0,0,0
B2,INDUSTRIAL,OC,calculated,3909,32.905229512196,24.5847620075999,1799
B2,INDUSTRIAL,OC,information_insufficient,115,0,0,4
B2,INDUSTRIAL,OC,not_involved,18,0,0,0
B2,INDUSTRIAL,OC,source_data_invalid,4,0,0,0
B2,INDUSTRIAL,PM10,calculated,3909,239167.97803534,217716.031337772,1799
B2,INDUSTRIAL,PM10,information_insufficient,115,0,0,4
B2,INDUSTRIAL,PM10,not_involved,18,0,0,0
