standard_value,category,source_section,physical_pdf_page
煤炭,固体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
焦炭,固体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
煤矸石,固体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
其它焦化产品,固体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
焦炉煤气,气体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
高炉煤气,气体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
其它煤气,气体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
天然气,气体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
液化天然气,气体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
液化石油气,气体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
炼厂干气,气体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
转炉煤气,气体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
其它气体燃料,气体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
原油,液体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
汽油,液体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
煤油,液体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
柴油,液体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
燃料油,液体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
其它液体燃料,液体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
石油沥青,液体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
石油焦,液体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
其它石油制品,液体燃料,附录D 表D.1；附录E 表E.7,43-45；54-55
