raw_field,raw_value,standard_control_technology,component_order,mapping_status,observed_count,source_type,note
脱硫处理工艺名称,S01|炉内喷钙,炉内喷钙法,1,mapped,4,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,S01|炉内喷钙S03|石灰石/石膏法,炉内喷钙法,1,mapped,12,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,S01|炉内喷钙S03|石灰石/石膏法,石灰石/石膏法,2,mapped,12,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,S01|炉内喷钙S09|烟气循环流化床法,炉内喷钙法,1,mapped,3,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,S01|炉内喷钙S09|烟气循环流化床法,烟气循环流化床法,2,mapped,3,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,S02|型煤固硫S08|双碱法,双碱法,1,mapped,3,reviewed_operational_mapping,未列名脱硫路线归入A.1其他脱硫技术
脱硫处理工艺名称,S02|型煤固硫S08|双碱法,其他脱硫技术,2,mapped,3,reviewed_operational_mapping,未列名脱硫路线归入A.1其他脱硫技术
脱硫处理工艺名称,S03|石灰石/石膏法,石灰石/石膏法,1,mapped,38,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,S03|石灰石/石膏法S09|烟气循环流化床法,石灰石/石膏法,1,mapped,2,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,S03|石灰石/石膏法S09|烟气循环流化床法,烟气循环流化床法,2,mapped,2,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,S04|石灰/石膏法,石灰石/石膏法,1,mapped,4,reviewed_operational_mapping,石灰/石膏按湿法石膏路线同义归并
脱硫处理工艺名称,S04|石灰/石膏法S08|双碱法,石灰石/石膏法,1,mapped,1,reviewed_operational_mapping,石灰/石膏按湿法石膏路线同义归并
脱硫处理工艺名称,S04|石灰/石膏法S08|双碱法,双碱法,2,mapped,1,reviewed_operational_mapping,石灰/石膏按湿法石膏路线同义归并
脱硫处理工艺名称,S05|氧化镁法,氧化镁法,1,mapped,9,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,S06|海水脱硫法,海水法,1,mapped,6,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,S08|双碱法,双碱法,1,mapped,44,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,S09|烟气循环流化床法,烟气循环流化床法,1,mapped,4,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,S12|其他,其他脱硫技术,1,mapped,6,reviewed_operational_mapping,未列名脱硫路线归入A.1其他脱硫技术
脱硫处理工艺名称,S12其他（钠碱法）,其他脱硫技术,1,mapped,31,reviewed_operational_mapping,未列名脱硫路线归入A.1其他脱硫技术
脱硫处理工艺名称,其他（湿法脱硫除尘一体化）,其他脱硫技术,1,mapped,72,reviewed_operational_mapping,一体化同时保留脱硫和湿式除尘作用
脱硫处理工艺名称,其他（湿法脱硫除尘一体化）,湿式除尘法,2,mapped,72,reviewed_operational_mapping,一体化同时保留脱硫和湿式除尘作用
脱硫处理工艺名称,其他（钠碱法）,其他脱硫技术,1,mapped,6,reviewed_operational_mapping,未列名脱硫路线归入A.1其他脱硫技术
脱硫处理工艺名称,其他（高效电石渣法）②,其他脱硫技术,1,mapped,1,reviewed_operational_mapping,未列名脱硫路线归入A.1其他脱硫技术
脱硫处理工艺名称,双碱法,双碱法,1,mapped,51,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,氧化镁法,氧化镁法,1,mapped,1,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,氨法,氨法,1,mapped,5,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,海水脱硫法,海水法,1,mapped,4,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,湿法石灰石-石膏法,石灰石/石膏法,1,mapped,2,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,湿法除尘法,湿式除尘法,1,mapped,1,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,炉内脱硫（炉内喷钙）,炉内喷钙法,1,mapped,1,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,烟气循环流化床法,烟气循环流化床法,1,mapped,10,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,石灰/石膏法,石灰石/石膏法,1,mapped,25,reviewed_operational_mapping,石灰/石膏按湿法石膏路线同义归并
脱硫处理工艺名称,石灰石-石膏湿式脱硫,石灰石/石膏法,1,mapped,4,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,石灰石-石膏湿法,石灰石/石膏法,1,mapped,5,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,石灰石/石膏法,石灰石/石膏法,1,mapped,45,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,石灰石－石膏湿法脱硫,石灰石/石膏法,1,mapped,4,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,高效烟气循环流化床法②,烟气循环流化床法,1,mapped,5,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,高效石灰/石膏法②,石灰石/石膏法,1,mapped,16,reviewed_operational_mapping,石灰/石膏按湿法石膏路线同义归并
脱硫处理工艺名称,高效石灰石/石膏法②,石灰石/石膏法,1,mapped,42,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,（炉内脱硫）+S12其他（钠碱法）,炉内喷钙法,1,mapped,19,reviewed_operational_mapping,未列名脱硫路线归入A.1其他脱硫技术
脱硫处理工艺名称,（炉内脱硫）+S12其他（钠碱法）,其他脱硫技术,2,mapped,19,reviewed_operational_mapping,未列名脱硫路线归入A.1其他脱硫技术
脱硫处理工艺名称,（炉内脱硫）+双碱法,炉内喷钙法,1,mapped,24,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,（炉内脱硫）+双碱法,双碱法,2,mapped,24,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,（炉内脱硫）+旋转喷雾干燥法,炉内喷钙法,1,mapped,2,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,（炉内脱硫）+旋转喷雾干燥法,旋转喷雾干燥法,2,mapped,2,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,（炉内脱硫）+烟气循环流化床法,炉内喷钙法,1,mapped,8,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,（炉内脱硫）+烟气循环流化床法,烟气循环流化床法,2,mapped,8,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,（炉内脱硫）+石灰石/石膏法,炉内喷钙法,1,mapped,8,reviewed_operational_mapping,按原词或编码语义映射
脱硫处理工艺名称,（炉内脱硫）+石灰石/石膏法,石灰石/石膏法,2,mapped,8,reviewed_operational_mapping,按原词或编码语义映射
脱硝处理工艺名称,N04|选择性非催化还原法（SNCR）,选择性非催化还原法,1,mapped,52,reviewed_operational_mapping,按原词或编码语义映射
脱硝处理工艺名称,N05|选择性催化还原法（SCR）,选择性催化还原法,1,mapped,32,reviewed_operational_mapping,按原词或编码语义映射
脱硝处理工艺名称,N08|其他,其他脱硝技术,1,mapped,2,reviewed_operational_mapping,按原词或编码语义映射
脱硝处理工艺名称,N08其他（低氮燃烧-国内领先）,低氮燃烧技术,1,mapped,15,reviewed_operational_mapping,按原词或编码语义映射
脱硝处理工艺名称,N08其他（低氮燃烧-国际领先）,低氮燃烧技术,1,mapped,11,reviewed_operational_mapping,按原词或编码语义映射
脱硝处理工艺名称,SCR 脱硝,选择性催化还原法,1,mapped,4,reviewed_operational_mapping,按原词或编码语义映射
脱硝处理工艺名称,低氮燃烧,低氮燃烧技术,1,mapped,10,reviewed_operational_mapping,按原词或编码语义映射
脱硝处理工艺名称,低氮燃烧+SCR,低氮燃烧技术+选择性催化还原法,1,mapped,4,reviewed_operational_mapping,按原词或编码语义映射
脱硝处理工艺名称,低氮燃烧+选择性催化还原法（SCR）,低氮燃烧技术+选择性催化还原法,1,mapped,17,reviewed_operational_mapping,按原词或编码语义映射
脱硝处理工艺名称,低氮燃烧+选择性非催化还原法（SNCR）,低氮燃烧技术+选择性非催化还原法,1,mapped,16,reviewed_operational_mapping,按原词或编码语义映射
脱硝处理工艺名称,烟气循环燃烧,其他脱硝技术,1,mapped,5,reviewed_operational_mapping,按原词或编码语义映射
脱硝处理工艺名称,选择性催化还原法（SCR）,选择性催化还原法,1,mapped,193,reviewed_operational_mapping,按原词或编码语义映射
脱硝处理工艺名称,选择性催化还原法（SCR）-选择性非催化还原法（SNCR）联用,选择性催化还原法,1,mapped,1,reviewed_operational_mapping,按原词或编码语义映射
脱硝处理工艺名称,选择性催化还原法（SCR）-选择性非催化还原法（SNCR）联用,选择性非催化还原法,2,mapped,1,reviewed_operational_mapping,按原词或编码语义映射
脱硝处理工艺名称,选择性非催化还原法（SNCR）,选择性非催化还原法,1,mapped,49,reviewed_operational_mapping,按原词或编码语义映射
脱硝处理工艺名称,高效选择性催化还原法（SCR）③,选择性催化还原法,1,mapped,98,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,P01|袋式除尘,袋式除尘法,1,mapped,20,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,P01|袋式除尘P10|喷淋塔/冲击水浴,袋式除尘法,1,mapped,3,reviewed_operational_mapping,按原词或编码语义映射
除尘处理工艺名称,P01|袋式除尘P10|喷淋塔/冲击水浴,湿式除尘法,2,mapped,3,reviewed_operational_mapping,按原词或编码语义映射
