源编号,源类,年份,行业代码,行业名称,设备类型,排口编号,核算项数,分类理由
SRC-RAW-90E067EFFFEEA507E10F,工业锅炉,2022,2730,中药饮片加工,燃气锅炉,DA001,9,[]
SRC-RAW-14966318FE4415CD8006,范围外,2022,1819,其他机织服装制造,燃生物质锅炉,DA001,0,[]
SRC-RAW-F8E0B7E08DAADCB14468,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA001,9,[]
SRC-RAW-B744EE7E106839022BD3,工业锅炉,2022,1620,卷烟制造,燃气锅炉,DA001,9,[]
SRC-RAW-53C0C027EE5030DB33CA,工业锅炉,2022,1620,卷烟制造,燃气锅炉,DA002,9,[]
SRC-RAW-BF68CECF15B3C0A42682,工业锅炉,2022,1620,卷烟制造,燃气锅炉,DA003,9,[]
SRC-RAW-9615643551D6AEA70C65,工业锅炉,2022,1620,卷烟制造,燃气锅炉,DA004,9,[]
SRC-RAW-BC62233552CB4DCAF9DE,工业锅炉,2022,4341,铁路运输设备修理,燃油锅炉,DA001,9,[]
SRC-RAW-1EDC61156AC774B677F7,工业锅炉,2022,2740,中成药生产,燃气锅炉,DA001,9,[]
SRC-RAW-791E9DD016C7F71E18C9,工业锅炉,2022,2740,中成药生产,燃气锅炉,DA002,9,[]
SRC-RAW-F4EAA8D6333BE5AD0EE2,工业锅炉,2022,2740,中成药生产,燃气锅炉,DA001,9,[]
SRC-RAW-65DF650E16BB4C789E43,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA001,9,[]
SRC-RAW-1750FB80D8F09E37E049,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA001,9,[]
SRC-RAW-93AFE5B601EF8715A8C5,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA001,9,[]
SRC-RAW-52BE56FF4FB26396519E,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA003,9,[]
SRC-RAW-4959FD9C382CABC0D2A9,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA003,9,[]
SRC-RAW-CD8ABFD8E450CE593F97,工业锅炉,2022,2231,纸和纸板容器制造,燃气锅炉,DA001,9,[]
SRC-RAW-11A00DBFA59E61614CAC,工业锅炉,2022,1391,淀粉及淀粉制品制造,燃气锅炉,DA001,9,[]
SRC-RAW-B67E46C32CE68325C5EB,工业锅炉,2022,1391,淀粉及淀粉制品制造,燃气锅炉,DA001,9,[]
SRC-RAW-165B26BBFC1142CE05A3,工业锅炉,2022,1391,淀粉及淀粉制品制造,燃气锅炉,DA001,9,[]
SRC-RAW-20E1D64632E03126253B,工业锅炉,2022,1431,米、面制品制造,燃气锅炉,DA001,9,[]
SRC-RAW-9A1285C2AE6ABE7DA36D,工业锅炉,2022,1441,液体乳制造,燃气锅炉,DA001,9,[]
SRC-RAW-A176F466419524F5BBD1,工业锅炉,2022,1441,液体乳制造,燃气锅炉,DA001,9,[]
SRC-RAW-5A9A09E7A093E3F05394,工业锅炉,2022,1441,液体乳制造,燃气锅炉,DA002,9,[]
SRC-RAW-40C738DA6FAA348B875B,工业锅炉,2022,2761,生物药品制造,燃气锅炉,DA002,9,[]
SRC-RAW-354BCAA1879EDBB4F7AB,工业锅炉,2022,1441,液体乳制造,燃气锅炉,DA002,9,[]
SRC-RAW-7F2856A8B7F8B1EA2603,工业锅炉,2022,1392,豆制品制造,燃气锅炉,DA001,9,[]
SRC-RAW-4B160D7385956C4E57EB,工业锅炉,2022,1441,液体乳制造,燃气锅炉,DA001,9,[]
SRC-RAW-A2E8D6338F6D2EF4CBE2,工业锅炉,2022,1441,液体乳制造,燃气锅炉,DA001,9,[]
SRC-RAW-F98DEF6D4E3DC2F26DE7,工业锅炉,2022,1441,液体乳制造,燃气锅炉,DA001,9,[]
SRC-RAW-27C13E7E5154D2910D5A,工业锅炉,2022,1441,液体乳制造,燃气锅炉,DA001,9,[]
SRC-RAW-35208EA8F9C5B0CA67BD,工业锅炉,2022,2740,中成药生产,燃气锅炉,DA001,9,[]
SRC-RAW-E18849DC2C3F6E400DCA,工业锅炉,2022,1439,其他方便食品制造,燃气锅炉,DA001,9,[]
