源ID,源类,基102原表行号,污染物,B0参照总量表记录行号,当前终态,当前产生量_吨每年,当前排放量_吨每年,按现协议应有终态,按现协议产生量_吨每年,按现协议排放量_吨每年,按现协议原因码,非空脱硝记录数,被用于NH3判定的其他治理文本,问题归属,影响说明
SRC-RAW-BF8FABB62BF404DE7259,工业锅炉,118,NH3,31495,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,高效静电除尘①,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-308A0403BAB78A56EA33,工业锅炉,182,NH3,7897,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,电袋组合,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-81733743F341489CC94D,工业锅炉,242,NH3,21388,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,袋式除尘,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-6ED484F333A78A6E17D7,工业锅炉,243,NH3,18292,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,袋式除尘,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-91A2B98FFF56709CD6F5,工业锅炉,402,NH3,23980,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,袋式除尘,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-C41D91B98EF8B2B548EA,工业锅炉,563,NH3,32197,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,喷淋塔/冲击水浴,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-87D9CC69CF5E7347EA96,工业锅炉,601,NH3,22585,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,袋式除尘+双碱法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-DB4F1902B71327C15806,工业锅炉,629,NH3,35788,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,袋式除尘,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-CF4CE62BF0FDA7FBCE35,工业锅炉,745,NH3,33772,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,喷淋塔/冲击水浴,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-95F6D5B0A630F773DA4A,工业锅炉,753,NH3,24736,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,袋式除尘,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-64FE853265E18A8D10CD,工业锅炉,875,NH3,16699,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,文丘里,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-41252FD72D5FEE379D1F,工业锅炉,942,NH3,10669,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,单筒（多筒并联）旋风,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-C308A5FC792155E6DA27,工业锅炉,1109,NH3,32017,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,烟气循环流化床法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-53472C3411002ACF1E05,工业锅炉,1413,NH3,13594,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,喷淋塔/冲击水浴,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-4412309C9F411C103CFD,工业锅炉,1450,NH3,11119,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,机械+湿法除尘脱硫,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-FA6CE82F65D745F12FCF,工业锅炉,1451,NH3,40918,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,机械+湿法除尘脱硫,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-2C6198E59A019129E4ED,工业锅炉,1458,NH3,7177,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,喷淋塔/冲击水浴,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-A25F8714E2FF75BD237B,工业锅炉,1615,NH3,26842,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,单筒（多筒并联）旋风+袋式除尘,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-336175CD9F6BE92DE5C8,工业锅炉,1616,NH3,8320,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,单筒（多筒并联）旋风+袋式除尘,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-71FD22952351AEE17C2B,火电热力,1664,NH3,18814,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,石灰石/石膏法+石灰石/石膏法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-4A378BE015CC86255662,火电热力,1665,NH3,12181,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,石灰石/石膏法+石灰石/石膏法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-50E48C034B0B4C31D6F8,工业锅炉,1673,NH3,13162,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,喷淋塔/冲击水浴,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-A076DDED16ACAC5CF10B,工业锅炉,1674,NH3,26617,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,喷淋塔/冲击水浴,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-9D21F6C1391C94F6A7B5,工业锅炉,1675,NH3,25951,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,喷淋塔/冲击水浴,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-6F08F34F83FFCD505F03,工业锅炉,1713,NH3,18364,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,高效静电除尘+其他（湿法脱硫协同）①,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-98A00F2B6AF1D22FE90B,工业锅炉,1739,NH3,25195,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,喷淋塔/冲击水浴,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-C2A07E8B37DA4337574A,火电热力,1752,NH3,31972,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,石灰石/石膏法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-4B26B4131240357A1230,工业锅炉,1788,NH3,12361,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,袋式除尘,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-AA2F2D14EF15706D5215,工业锅炉,1832,NH3,28012,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,（炉内脱硫）+双碱法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-05A3F69CD0063E32B769,工业锅炉,1833,NH3,931,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,文丘里,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-A6EA64E9B35CD18BF4C2,工业锅炉,1835,NH3,27544,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,双碱法+机械+湿法除尘法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-35478B3D508045C4B1D3,工业锅炉,1836,NH3,8617,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,（炉内脱硫）+双碱法+喷淋塔/冲击水浴,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-67F8451E6D8ED28AA69A,工业锅炉,1837,NH3,17176,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,袋式除尘+S12其他（钠碱法）,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-1B9F906F002B3B0C9461,工业锅炉,1838,NH3,4729,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,其他（湿法脱硫除尘一体化）+电袋组合,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-DE1C504FCD5A913A752B,工业锅炉,1839,NH3,36193,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,文丘里,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-65F8A3AA58DBCA96FC6E,工业锅炉,1840,NH3,16888,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,文丘里,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-F92F160DECAC98DECCC2,工业锅炉,1841,NH3,40747,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,双碱法+袋式除尘,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-9CD4BFD1780AF702BCCE,工业锅炉,1847,NH3,25888,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,袋式除尘,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-46B0CDADAB674BDA4378,工业锅炉,1848,NH3,11650,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,袋式除尘+双碱法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-9121992E803A49E9E205,工业锅炉,1849,NH3,23908,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,袋式除尘+袋式除尘,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-743F40101701DA67C278,工业锅炉,1850,NH3,19246,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,袋式除尘+袋式除尘,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-817513EC94EFE272C4E3,工业锅炉,1853,NH3,21406,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,（炉内脱硫）+双碱法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-F8F52823DF900D6EB1EF,工业锅炉,1854,NH3,40720,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,双碱法+机械+湿法除尘法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-F08FAB80B6413ACB8598,工业锅炉,1855,NH3,39154,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,袋式除尘,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-82AE6EB133FCA18EA008,工业锅炉,1857,NH3,21703,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,机械+湿法除尘法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-D2F87FB2ECBDF4439296,工业锅炉,1858,NH3,34294,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,机械+湿法除尘法+S12其他（钠碱法）,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-B921109FB77E419C5D70,工业锅炉,1863,NH3,30388,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,双碱法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-37FA4AC21CF3D24B2557,工业锅炉,1866,NH3,9085,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,袋式除尘,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-646F4C05C12887870A23,工业锅炉,1879,NH3,16609,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,机械+湿法除尘法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-3130847D4368455A730B,工业锅炉,1883,NH3,7978,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,机械+湿法除尘脱硫,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-B6D097FDD8C2330D09F8,工业锅炉,1885,NH3,30055,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,高效袋式除尘①+其他（湿法脱硫除尘一体化）,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-A7F3BCC4C40EE64E8A63,火电热力,1889,NH3,27670,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,石灰石/石膏法+石灰石/石膏法+石灰石/石膏法+石灰石/石膏法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-80D290DDA79AA8B3BD4F,火电热力,1890,NH3,21262,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,石灰石/石膏法+石灰石/石膏法+石灰石/石膏法+石灰石/石膏法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-54F9E46535B7EE312CBD,火电热力,1891,NH3,13927,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,石灰石/石膏法+石灰石/石膏法+石灰石/石膏法+石灰石/石膏法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-0AF6331A11D3D11BD4D1,火电热力,1892,NH3,1786,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,石灰石/石膏法+石灰石/石膏法+石灰石/石膏法+石灰石/石膏法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-75A7AB89B30441D1F77D,工业锅炉,1893,NH3,19372,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,离心水膜,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-21CAF03E52D608D455F5,工业锅炉,1895,NH3,5656,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,文丘里,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-8A1B5935CC6200241332,工业锅炉,1897,NH3,22846,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,（炉内脱硫）+双碱法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-3042C63E9849155B0925,工业锅炉,1899,NH3,7870,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,双碱法+电袋组合+其他（湿式电除尘）,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-0E15F50E5F976EAA1890,工业锅炉,1902,NH3,2335,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,文丘里,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-E5BFCD7A29CEC2B7A216,工业锅炉,1904,NH3,37390,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,石灰石/石膏法+文丘里,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-9C257CDB65577FEE6DF9,工业锅炉,1905,NH3,25735,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,机械+湿法除尘脱硫,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-8CBE27BA219BED5E4192,工业锅炉,1906,NH3,23341,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,机械+湿法除尘法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-AFDB2F69DD021732280B,工业锅炉,1909,NH3,28867,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,袋式除尘,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-36037EDD3D5B7E487309,工业锅炉,1916,NH3,8707,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,袋式除尘,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-9EFC121F784DF5C6F78C,工业锅炉,1917,NH3,26266,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,袋式除尘,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-447FBEA00511E8F78A82,工业锅炉,1918,NH3,11254,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,双碱法+机械+湿法除尘法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-E21EA0C1A54C29600821,工业锅炉,1920,NH3,36904,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,（炉内脱硫）+烟气循环流化床法+机械+湿法除尘法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-D416F9DD021BA74195D5,工业锅炉,2056,NH3,34501,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,高效静电除尘+其他（湿式电除尘）①,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-1A019E18811F4036A320,工业锅炉,2097,NH3,4414,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,其他（湿法脱硫除尘一体化）,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-DBB8F6B93FFAAEBD7D49,工业锅炉,2116,NH3,35851,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,湿法除尘法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-E0C077F6D14BF5A97FCF,工业锅炉,2305,NH3,36670,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,石灰石/石膏法,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
SRC-RAW-F1220029AD887E209B43,工业锅炉,2635,NH3,39244,not_involved,,,calculated,0,0,DENITRIFICATION_INFO_MISSING_ZERO,0,袋式除尘,参照生成程序 nh3_processes + 核算引擎 denitrification_processes,修正终态、空白/数值与原因字段；经验零不是实测氨排放
