源ID,源类,基102原表行号,工业设备字段,电站设备字段,当前取用治理类别,原设备对应治理类别,当前类别候选数,原设备类别候选数,归属,修正后排放量,SO2_当前终态,SO2_当前排放量_t,NOx_当前终态,NOx_当前排放量_t,PM10_当前终态,PM10_当前排放量_t,PM2.5_当前终态,PM2.5_当前排放量_t,BC_当前终态,BC_当前排放量_t,OC_当前终态,OC_当前排放量_t,NH3_当前终态,NH3_当前排放量_t
SRC-RAW-FF1045ABC23B668A936E,工业锅炉,235,,燃煤锅炉,GYGL,DZGL,0,4,参照生成器、专业引擎及确定性脚本的治理关联实现,尚未核定，不能用候选数量直接推算,calculated,1578.7849,calculated,720.4324764,calculated,6457.5257355,calculated,1684.571931,calculated,3.369143862,calculated,0,calculated,0
SRC-RAW-75592E83770CD2701D5A,工业锅炉,236,,燃煤锅炉,GYGL,DZGL,0,4,参照生成器、专业引擎及确定性脚本的治理关联实现,尚未核定，不能用候选数量直接推算,calculated,1092.2296,calculated,498.4071456,calculated,4467.423492,calculated,1165.414824,calculated,2.330829648,calculated,0,calculated,0
SRC-RAW-75DF4E6BB41F91F299F2,工业锅炉,237,,燃煤锅炉,GYGL,DZGL,0,4,参照生成器、专业引擎及确定性脚本的治理关联实现,尚未核定，不能用候选数量直接推算,calculated,340.58752,calculated,1225.7961456,calculated,1156.919986,calculated,476.8888376,calculated,10.9573238656,calculated,2.23153,calculated,0
SRC-RAW-9D59E477248611165BB7,工业锅炉,238,,燃煤锅炉,GYGL,DZGL,0,4,参照生成器、专业引擎及确定性脚本的治理关联实现,尚未核定，不能用候选数量直接推算,calculated,262.54256,calculated,1021.3712808,calculated,906.082208,calculated,378.0180628,calculated,9.1179174968,calculated,1.88804,calculated,0
SRC-RAW-1B11FEEA3B4289555FFE,工业锅炉,538,,燃煤锅炉,GYGL,DZGL,0,3,参照生成器、专业引擎及确定性脚本的治理关联实现,尚未核定，不能用候选数量直接推算,calculated,4636.32806,calculated,1628.00235,calculated,8689.358184,calculated,3041.2753644,calculated,18.2476521864,calculated,0,calculated,0
SRC-RAW-FC7B087AFDADA5374D70,工业锅炉,553,,燃煤锅炉,GYGL,DZGL,0,3,参照生成器、专业引擎及确定性脚本的治理关联实现,尚未核定，不能用候选数量直接推算,calculated,765.900507,calculated,277.431453,calculated,1131.35123808,calculated,395.972933328,calculated,2.375837599968,calculated,0,calculated,0
SRC-RAW-F8955A8A68B36C170B38,工业锅炉,554,,燃煤锅炉,GYGL,DZGL,0,3,参照生成器、专业引擎及确定性脚本的治理关联实现,尚未核定，不能用候选数量直接推算,calculated,928.7139916,calculated,347.3770365,calculated,1477.15404444,calculated,517.003915554,calculated,3.102023493324,calculated,0,calculated,0
SRC-RAW-6ED412173EE3115F6A5E,工业锅炉,555,,燃煤锅炉,GYGL,DZGL,0,3,参照生成器、专业引擎及确定性脚本的治理关联实现,尚未核定，不能用候选数量直接推算,calculated,546.628727,calculated,198.004833,calculated,900.46505592,calculated,315.162769572,calculated,1.890976617432,calculated,0,calculated,0
SRC-RAW-B9E105D6FF54717E0E13,工业锅炉,556,,燃煤锅炉,GYGL,DZGL,0,3,参照生成器、专业引擎及确定性脚本的治理关联实现,尚未核定，不能用候选数量直接推算,calculated,608.0751165,calculated,220.2625035,calculated,934.81665588,calculated,327.185829558,calculated,1.963114977348,calculated,0,calculated,0
SRC-RAW-A0663FFB1B7B8DF4A263,工业锅炉,560,,燃煤锅炉,GYGL,DZGL,0,3,参照生成器、专业引擎及确定性脚本的治理关联实现,尚未核定，不能用候选数量直接推算,calculated,216.1992,calculated,132.8535,calculated,624.34332,calculated,218.520162,calculated,1.311120972,calculated,0,calculated,0
