源ID,源类,基102原表行号,污染物,B0参照总量表记录行号,当前排放量_吨每年,补回湿式成分后的诊断排放量_吨每年,变化量_吨每年,相对变化_百分比,问题归属,计算说明
SRC-RAW-4412309C9F411C103CFD,工业锅炉,1450,BC,11117,0.0129276,0.007182,-0.005745599999999999,-44.44444444444444,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
SRC-RAW-4412309C9F411C103CFD,工业锅炉,1450,OC,11121,0.0036936,0.002052,-0.0016416,-44.44444444444444,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
SRC-RAW-4412309C9F411C103CFD,工业锅炉,1450,PM10,11122,0.04617,0.02565,-0.020520000000000004,-44.44444444444445,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
SRC-RAW-4412309C9F411C103CFD,工业锅炉,1450,PM2.5,11123,0.04617,0.02565,-0.020520000000000004,-44.44444444444445,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
SRC-RAW-4412309C9F411C103CFD,工业锅炉,1450,SO2,11124,0.3078,0.24624000000000001,-0.061560000000000004,-20.0,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
SRC-RAW-FA6CE82F65D745F12FCF,工业锅炉,1451,BC,40916,0.0130536,0.007252,-0.0058016000000000005,-44.44444444444444,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
SRC-RAW-FA6CE82F65D745F12FCF,工业锅炉,1451,OC,40920,0.0037296,0.002072,-0.0016576,-44.44444444444444,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
SRC-RAW-FA6CE82F65D745F12FCF,工业锅炉,1451,PM10,40921,0.04662,0.0259,-0.020720000000000002,-44.44444444444444,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
SRC-RAW-FA6CE82F65D745F12FCF,工业锅炉,1451,PM2.5,40922,0.04662,0.0259,-0.020720000000000002,-44.44444444444444,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
SRC-RAW-FA6CE82F65D745F12FCF,工业锅炉,1451,SO2,40923,0.3108,0.24864000000000003,-0.06215999999999999,-19.999999999999996,规则包 source_control_aliases.csv 第88或89行,仅补回原名称明确的湿式成分，保留产生量与其他规则；诊断值尚未替换正式结果
