实验,运行编号,方法,源类,结果目录,Hermes会话,消息数,工具调用数,聊天记录,材料类型
A,A-IND-FULL-R1,Full完整方法,工业锅炉,A-IND-FULL-R1/结果,20260821_054820_cffeb0,49,25,A-IND-FULL-R1/聊天记录/聊天记录.md,机器运行输出
A,A-IND-FULL-R2,Full完整方法,工业锅炉,A-IND-FULL-R2/结果,20260821_063858_8d80b4,41,23,A-IND-FULL-R2/聊天记录/聊天记录.md,机器运行输出
A,A-IND-FULL-R3,Full完整方法,工业锅炉,A-IND-FULL-R3/结果,20260821_072446_282e7e,41,21,A-IND-FULL-R3/聊天记录/聊天记录.md,机器运行输出
A,A-IND-DET-R1,简单确定性脚本,工业锅炉,A-IND-DET-R1/结果,,,,,机器运行输出
A,A-IND-DET-R2,简单确定性脚本,工业锅炉,A-IND-DET-R2/结果,,,,,机器运行输出
A,A-IND-DET-R3,简单确定性脚本,工业锅炉,A-IND-DET-R3/结果,,,,,机器运行输出
A,A-IND-GEN-R1,通用工具Agent,工业锅炉,A-IND-GEN-R1/结果,20260821_055003_ade3bd,176,89,A-IND-GEN-R1/聊天记录/聊天记录.md,机器运行输出
A,A-IND-GEN-R2,通用工具Agent,工业锅炉,A-IND-GEN-R2/结果,20260821_064037_5756ba,183,92,A-IND-GEN-R2/聊天记录/聊天记录.md,机器运行输出
A,A-IND-GEN-R3,通用工具Agent,工业锅炉,A-IND-GEN-R3/结果,20260821_072626_8a43a3,166,85,A-IND-GEN-R3/聊天记录/聊天记录.md,机器运行输出
A,A-IND-HUM,既有专家主导型流程,工业锅炉,A-IND-HUM/结果,,,,,人工原表与表头读取结果
A,A-POW-FULL-R1,Full完整方法,火电热力,A-POW-FULL-R1/结果,20260821_061518_ee80e8,50,24,A-POW-FULL-R1/聊天记录/聊天记录.md,机器运行输出
A,A-POW-FULL-R2,Full完整方法,火电热力,A-POW-FULL-R2/结果,20260821_070118_9db5b0,54,27,A-POW-FULL-R2/聊天记录/聊天记录.md,机器运行输出
A,A-POW-FULL-R3,Full完整方法,火电热力,A-POW-FULL-R3/结果,20260821_080751_40b723,44,25,A-POW-FULL-R3/聊天记录/聊天记录.md,机器运行输出
A,A-POW-DET-R1,简单确定性脚本,火电热力,A-POW-DET-R1/结果,,,,,机器运行输出
A,A-POW-DET-R2,简单确定性脚本,火电热力,A-POW-DET-R2/结果,,,,,机器运行输出
A,A-POW-DET-R3,简单确定性脚本,火电热力,A-POW-DET-R3/结果,,,,,机器运行输出
A,A-POW-GEN-R1,通用工具Agent,火电热力,A-POW-GEN-R1/结果,20260821_061640_618331,181,100,A-POW-GEN-R1/聊天记录/聊天记录.md,机器运行输出
